NatomsRetained = 705   ||  NMapping = 1/50  ||  time = 3.9319 sec |||  1/11750
NatomsRetained = 705   ||  NMapping = 2/50  ||  time = 4.0599 sec |||  2/11750
NatomsRetained = 705   ||  NMapping = 3/50  ||  time = 4.0352 sec |||  3/11750
NatomsRetained = 705   ||  NMapping = 4/50  ||  time = 3.8863 sec |||  4/11750
NatomsRetained = 705   ||  NMapping = 5/50  ||  time = 4.0517 sec |||  5/11750
NatomsRetained = 705   ||  NMapping = 6/50  ||  time = 3.8756 sec |||  6/11750
NatomsRetained = 705   ||  NMapping = 7/50  ||  time = 4.0314 sec |||  7/11750
NatomsRetained = 705   ||  NMapping = 8/50  ||  time = 3.9577 sec |||  8/11750
NatomsRetained = 705   ||  NMapping = 9/50  ||  time = 4.0246 sec |||  9/11750
NatomsRetained = 705   ||  NMapping = 10/50  ||  time = 3.9308 sec |||  10/11750
NatomsRetained = 705   ||  NMapping = 11/50  ||  time = 4.0694 sec |||  11/11750
NatomsRetained = 705   ||  NMapping = 12/50  ||  time = 3.8063 sec |||  12/11750
NatomsRetained = 705   ||  NMapping = 13/50  ||  time = 4.0230 sec |||  13/11750
NatomsRetained = 705   ||  NMapping = 14/50  ||  time = 3.9230 sec |||  14/11750
NatomsRetained = 705   ||  NMapping = 15/50  ||  time = 3.9333 sec |||  15/11750
NatomsRetained = 705   ||  NMapping = 16/50  ||  time = 4.0415 sec |||  16/11750
NatomsRetained = 705   ||  NMapping = 17/50  ||  time = 4.0454 sec |||  17/11750
NatomsRetained = 705   ||  NMapping = 18/50  ||  time = 3.9924 sec |||  18/11750
NatomsRetained = 705   ||  NMapping = 19/50  ||  time = 3.9335 sec |||  19/11750
NatomsRetained = 705   ||  NMapping = 20/50  ||  time = 4.0055 sec |||  20/11750
NatomsRetained = 705   ||  NMapping = 21/50  ||  time = 4.1544 sec |||  21/11750
NatomsRetained = 705   ||  NMapping = 22/50  ||  time = 4.2160 sec |||  22/11750
NatomsRetained = 705   ||  NMapping = 23/50  ||  time = 4.0480 sec |||  23/11750
NatomsRetained = 705   ||  NMapping = 24/50  ||  time = 3.9474 sec |||  24/11750
NatomsRetained = 705   ||  NMapping = 25/50  ||  time = 4.0914 sec |||  25/11750
NatomsRetained = 705   ||  NMapping = 26/50  ||  time = 4.0144 sec |||  26/11750
NatomsRetained = 705   ||  NMapping = 27/50  ||  time = 4.2086 sec |||  27/11750
NatomsRetained = 705   ||  NMapping = 28/50  ||  time = 3.9731 sec |||  28/11750
NatomsRetained = 705   ||  NMapping = 29/50  ||  time = 4.1384 sec |||  29/11750
NatomsRetained = 705   ||  NMapping = 30/50  ||  time = 3.9676 sec |||  30/11750
NatomsRetained = 705   ||  NMapping = 31/50  ||  time = 3.9386 sec |||  31/11750
NatomsRetained = 705   ||  NMapping = 32/50  ||  time = 3.9563 sec |||  32/11750
NatomsRetained = 705   ||  NMapping = 33/50  ||  time = 4.0941 sec |||  33/11750
NatomsRetained = 705   ||  NMapping = 34/50  ||  time = 3.9513 sec |||  34/11750
NatomsRetained = 705   ||  NMapping = 35/50  ||  time = 4.1147 sec |||  35/11750
NatomsRetained = 705   ||  NMapping = 36/50  ||  time = 4.0538 sec |||  36/11750
NatomsRetained = 705   ||  NMapping = 37/50  ||  time = 3.9802 sec |||  37/11750
NatomsRetained = 705   ||  NMapping = 38/50  ||  time = 3.9980 sec |||  38/11750
NatomsRetained = 705   ||  NMapping = 39/50  ||  time = 4.0733 sec |||  39/11750
NatomsRetained = 705   ||  NMapping = 40/50  ||  time = 3.9972 sec |||  40/11750
NatomsRetained = 705   ||  NMapping = 41/50  ||  time = 3.9856 sec |||  41/11750
NatomsRetained = 705   ||  NMapping = 42/50  ||  time = 4.0473 sec |||  42/11750
NatomsRetained = 705   ||  NMapping = 43/50  ||  time = 3.9720 sec |||  43/11750
NatomsRetained = 705   ||  NMapping = 44/50  ||  time = 3.9087 sec |||  44/11750
NatomsRetained = 705   ||  NMapping = 45/50  ||  time = 3.9721 sec |||  45/11750
NatomsRetained = 705   ||  NMapping = 46/50  ||  time = 3.9579 sec |||  46/11750
NatomsRetained = 705   ||  NMapping = 47/50  ||  time = 4.1176 sec |||  47/11750
NatomsRetained = 705   ||  NMapping = 48/50  ||  time = 4.0004 sec |||  48/11750
NatomsRetained = 705   ||  NMapping = 49/50  ||  time = 3.9934 sec |||  49/11750
NatomsRetained = 705   ||  NMapping = 50/50  ||  time = 3.9973 sec |||  50/11750
NatomsRetained = 702   ||  NMapping = 1/50  ||  time = 4.0739 sec |||  51/11750
NatomsRetained = 702   ||  NMapping = 2/50  ||  time = 3.9755 sec |||  52/11750
NatomsRetained = 702   ||  NMapping = 3/50  ||  time = 4.1078 sec |||  53/11750
NatomsRetained = 702   ||  NMapping = 4/50  ||  time = 3.9276 sec |||  54/11750
NatomsRetained = 702   ||  NMapping = 5/50  ||  time = 3.9910 sec |||  55/11750
NatomsRetained = 702   ||  NMapping = 6/50  ||  time = 3.9281 sec |||  56/11750
NatomsRetained = 702   ||  NMapping = 7/50  ||  time = 4.0773 sec |||  57/11750
NatomsRetained = 702   ||  NMapping = 8/50  ||  time = 3.8759 sec |||  58/11750
NatomsRetained = 702   ||  NMapping = 9/50  ||  time = 3.9595 sec |||  59/11750
NatomsRetained = 702   ||  NMapping = 10/50  ||  time = 3.9275 sec |||  60/11750
NatomsRetained = 702   ||  NMapping = 11/50  ||  time = 3.9474 sec |||  61/11750
NatomsRetained = 702   ||  NMapping = 12/50  ||  time = 3.9854 sec |||  62/11750
NatomsRetained = 702   ||  NMapping = 13/50  ||  time = 4.0007 sec |||  63/11750
NatomsRetained = 702   ||  NMapping = 14/50  ||  time = 3.9486 sec |||  64/11750
NatomsRetained = 702   ||  NMapping = 15/50  ||  time = 4.0349 sec |||  65/11750
NatomsRetained = 702   ||  NMapping = 16/50  ||  time = 3.9375 sec |||  66/11750
NatomsRetained = 702   ||  NMapping = 17/50  ||  time = 4.0264 sec |||  67/11750
NatomsRetained = 702   ||  NMapping = 18/50  ||  time = 3.9030 sec |||  68/11750
NatomsRetained = 702   ||  NMapping = 19/50  ||  time = 4.1048 sec |||  69/11750
NatomsRetained = 702   ||  NMapping = 20/50  ||  time = 4.2784 sec |||  70/11750
NatomsRetained = 702   ||  NMapping = 21/50  ||  time = 4.3707 sec |||  71/11750
NatomsRetained = 702   ||  NMapping = 22/50  ||  time = 4.3228 sec |||  72/11750
NatomsRetained = 702   ||  NMapping = 23/50  ||  time = 4.3780 sec |||  73/11750
NatomsRetained = 702   ||  NMapping = 24/50  ||  time = 4.2108 sec |||  74/11750
NatomsRetained = 702   ||  NMapping = 25/50  ||  time = 4.4191 sec |||  75/11750
NatomsRetained = 702   ||  NMapping = 26/50  ||  time = 4.3063 sec |||  76/11750
NatomsRetained = 702   ||  NMapping = 27/50  ||  time = 4.2729 sec |||  77/11750
NatomsRetained = 702   ||  NMapping = 28/50  ||  time = 4.4137 sec |||  78/11750
NatomsRetained = 702   ||  NMapping = 29/50  ||  time = 4.4169 sec |||  79/11750
NatomsRetained = 702   ||  NMapping = 30/50  ||  time = 4.2824 sec |||  80/11750
NatomsRetained = 702   ||  NMapping = 31/50  ||  time = 4.3350 sec |||  81/11750
NatomsRetained = 702   ||  NMapping = 32/50  ||  time = 4.1580 sec |||  82/11750
NatomsRetained = 702   ||  NMapping = 33/50  ||  time = 4.3686 sec |||  83/11750
NatomsRetained = 702   ||  NMapping = 34/50  ||  time = 4.3413 sec |||  84/11750
NatomsRetained = 702   ||  NMapping = 35/50  ||  time = 4.3283 sec |||  85/11750
NatomsRetained = 702   ||  NMapping = 36/50  ||  time = 4.2161 sec |||  86/11750
NatomsRetained = 702   ||  NMapping = 37/50  ||  time = 4.0988 sec |||  87/11750
NatomsRetained = 702   ||  NMapping = 38/50  ||  time = 4.1728 sec |||  88/11750
NatomsRetained = 702   ||  NMapping = 39/50  ||  time = 4.3476 sec |||  89/11750
NatomsRetained = 702   ||  NMapping = 40/50  ||  time = 4.2292 sec |||  90/11750
NatomsRetained = 702   ||  NMapping = 41/50  ||  time = 4.3493 sec |||  91/11750
NatomsRetained = 702   ||  NMapping = 42/50  ||  time = 4.3289 sec |||  92/11750
NatomsRetained = 702   ||  NMapping = 43/50  ||  time = 4.3365 sec |||  93/11750
NatomsRetained = 702   ||  NMapping = 44/50  ||  time = 4.3376 sec |||  94/11750
NatomsRetained = 702   ||  NMapping = 45/50  ||  time = 4.3384 sec |||  95/11750
NatomsRetained = 702   ||  NMapping = 46/50  ||  time = 4.2994 sec |||  96/11750
NatomsRetained = 702   ||  NMapping = 47/50  ||  time = 4.2099 sec |||  97/11750
NatomsRetained = 702   ||  NMapping = 48/50  ||  time = 4.3227 sec |||  98/11750
NatomsRetained = 702   ||  NMapping = 49/50  ||  time = 4.3073 sec |||  99/11750
NatomsRetained = 702   ||  NMapping = 50/50  ||  time = 4.3064 sec |||  100/11750
NatomsRetained = 699   ||  NMapping = 1/50  ||  time = 4.3751 sec |||  101/11750
NatomsRetained = 699   ||  NMapping = 2/50  ||  time = 4.2040 sec |||  102/11750
NatomsRetained = 699   ||  NMapping = 3/50  ||  time = 4.3822 sec |||  103/11750
NatomsRetained = 699   ||  NMapping = 4/50  ||  time = 4.2783 sec |||  104/11750
NatomsRetained = 699   ||  NMapping = 5/50  ||  time = 4.2770 sec |||  105/11750
NatomsRetained = 699   ||  NMapping = 6/50  ||  time = 4.1662 sec |||  106/11750
NatomsRetained = 699   ||  NMapping = 7/50  ||  time = 4.3279 sec |||  107/11750
NatomsRetained = 699   ||  NMapping = 8/50  ||  time = 4.3417 sec |||  108/11750
NatomsRetained = 699   ||  NMapping = 9/50  ||  time = 4.1902 sec |||  109/11750
NatomsRetained = 699   ||  NMapping = 10/50  ||  time = 4.3354 sec |||  110/11750
NatomsRetained = 699   ||  NMapping = 11/50  ||  time = 4.1518 sec |||  111/11750
NatomsRetained = 699   ||  NMapping = 12/50  ||  time = 4.0966 sec |||  112/11750
NatomsRetained = 699   ||  NMapping = 13/50  ||  time = 4.4200 sec |||  113/11750
NatomsRetained = 699   ||  NMapping = 14/50  ||  time = 4.2551 sec |||  114/11750
NatomsRetained = 699   ||  NMapping = 15/50  ||  time = 4.2020 sec |||  115/11750
NatomsRetained = 699   ||  NMapping = 16/50  ||  time = 4.2414 sec |||  116/11750
NatomsRetained = 699   ||  NMapping = 17/50  ||  time = 4.3155 sec |||  117/11750
