NatomsRetained = 538   ||  NMapping = 1/50  ||  time = 3.5194 sec |||  1/13400
NatomsRetained = 538   ||  NMapping = 2/50  ||  time = 3.5545 sec |||  2/13400
NatomsRetained = 538   ||  NMapping = 3/50  ||  time = 3.6380 sec |||  3/13400
NatomsRetained = 538   ||  NMapping = 4/50  ||  time = 3.5799 sec |||  4/13400
NatomsRetained = 538   ||  NMapping = 5/50  ||  time = 3.4891 sec |||  5/13400
NatomsRetained = 538   ||  NMapping = 6/50  ||  time = 3.4246 sec |||  6/13400
NatomsRetained = 538   ||  NMapping = 7/50  ||  time = 3.6224 sec |||  7/13400
NatomsRetained = 538   ||  NMapping = 8/50  ||  time = 3.6238 sec |||  8/13400
NatomsRetained = 538   ||  NMapping = 9/50  ||  time = 3.6402 sec |||  9/13400
NatomsRetained = 538   ||  NMapping = 10/50  ||  time = 3.6114 sec |||  10/13400
NatomsRetained = 538   ||  NMapping = 11/50  ||  time = 3.6802 sec |||  11/13400
NatomsRetained = 538   ||  NMapping = 12/50  ||  time = 3.7076 sec |||  12/13400
NatomsRetained = 538   ||  NMapping = 13/50  ||  time = 3.5501 sec |||  13/13400
NatomsRetained = 538   ||  NMapping = 14/50  ||  time = 3.6398 sec |||  14/13400
NatomsRetained = 538   ||  NMapping = 15/50  ||  time = 3.5232 sec |||  15/13400
NatomsRetained = 538   ||  NMapping = 16/50  ||  time = 3.6094 sec |||  16/13400
NatomsRetained = 538   ||  NMapping = 17/50  ||  time = 3.4656 sec |||  17/13400
NatomsRetained = 538   ||  NMapping = 18/50  ||  time = 3.3982 sec |||  18/13400
NatomsRetained = 538   ||  NMapping = 19/50  ||  time = 3.5159 sec |||  19/13400
NatomsRetained = 538   ||  NMapping = 20/50  ||  time = 3.4911 sec |||  20/13400
NatomsRetained = 538   ||  NMapping = 21/50  ||  time = 3.6665 sec |||  21/13400
NatomsRetained = 538   ||  NMapping = 22/50  ||  time = 3.4940 sec |||  22/13400
NatomsRetained = 538   ||  NMapping = 23/50  ||  time = 3.5216 sec |||  23/13400
NatomsRetained = 538   ||  NMapping = 24/50  ||  time = 3.6346 sec |||  24/13400
NatomsRetained = 538   ||  NMapping = 25/50  ||  time = 3.6220 sec |||  25/13400
NatomsRetained = 538   ||  NMapping = 26/50  ||  time = 3.6325 sec |||  26/13400
NatomsRetained = 538   ||  NMapping = 27/50  ||  time = 3.6205 sec |||  27/13400
NatomsRetained = 538   ||  NMapping = 28/50  ||  time = 3.6060 sec |||  28/13400
NatomsRetained = 538   ||  NMapping = 29/50  ||  time = 3.6036 sec |||  29/13400
NatomsRetained = 538   ||  NMapping = 30/50  ||  time = 3.5114 sec |||  30/13400
NatomsRetained = 538   ||  NMapping = 31/50  ||  time = 3.5629 sec |||  31/13400
NatomsRetained = 538   ||  NMapping = 32/50  ||  time = 3.6808 sec |||  32/13400
NatomsRetained = 538   ||  NMapping = 33/50  ||  time = 3.6521 sec |||  33/13400
NatomsRetained = 538   ||  NMapping = 34/50  ||  time = 3.5439 sec |||  34/13400
NatomsRetained = 538   ||  NMapping = 35/50  ||  time = 3.4966 sec |||  35/13400
NatomsRetained = 538   ||  NMapping = 36/50  ||  time = 3.6076 sec |||  36/13400
NatomsRetained = 538   ||  NMapping = 37/50  ||  time = 3.7911 sec |||  37/13400
NatomsRetained = 538   ||  NMapping = 38/50  ||  time = 3.5778 sec |||  38/13400
NatomsRetained = 538   ||  NMapping = 39/50  ||  time = 3.6616 sec |||  39/13400
NatomsRetained = 538   ||  NMapping = 40/50  ||  time = 3.5797 sec |||  40/13400
NatomsRetained = 538   ||  NMapping = 41/50  ||  time = 3.6048 sec |||  41/13400
NatomsRetained = 538   ||  NMapping = 42/50  ||  time = 3.6202 sec |||  42/13400
NatomsRetained = 538   ||  NMapping = 43/50  ||  time = 3.6384 sec |||  43/13400
NatomsRetained = 538   ||  NMapping = 44/50  ||  time = 3.5786 sec |||  44/13400
NatomsRetained = 538   ||  NMapping = 45/50  ||  time = 3.6671 sec |||  45/13400
NatomsRetained = 538   ||  NMapping = 46/50  ||  time = 3.6231 sec |||  46/13400
NatomsRetained = 538   ||  NMapping = 47/50  ||  time = 3.7178 sec |||  47/13400
NatomsRetained = 538   ||  NMapping = 48/50  ||  time = 3.5976 sec |||  48/13400
NatomsRetained = 538   ||  NMapping = 49/50  ||  time = 3.4777 sec |||  49/13400
NatomsRetained = 538   ||  NMapping = 50/50  ||  time = 3.6133 sec |||  50/13400
NatomsRetained = 536   ||  NMapping = 1/50  ||  time = 3.6075 sec |||  51/13400
NatomsRetained = 536   ||  NMapping = 2/50  ||  time = 3.6336 sec |||  52/13400
NatomsRetained = 536   ||  NMapping = 3/50  ||  time = 3.4945 sec |||  53/13400
NatomsRetained = 536   ||  NMapping = 4/50  ||  time = 3.5261 sec |||  54/13400
NatomsRetained = 536   ||  NMapping = 5/50  ||  time = 3.6923 sec |||  55/13400
NatomsRetained = 536   ||  NMapping = 6/50  ||  time = 3.5779 sec |||  56/13400
NatomsRetained = 536   ||  NMapping = 7/50  ||  time = 3.8156 sec |||  57/13400
NatomsRetained = 536   ||  NMapping = 8/50  ||  time = 3.5323 sec |||  58/13400
NatomsRetained = 536   ||  NMapping = 9/50  ||  time = 3.3814 sec |||  59/13400
NatomsRetained = 536   ||  NMapping = 10/50  ||  time = 3.5756 sec |||  60/13400
NatomsRetained = 536   ||  NMapping = 11/50  ||  time = 3.6455 sec |||  61/13400
NatomsRetained = 536   ||  NMapping = 12/50  ||  time = 3.5310 sec |||  62/13400
NatomsRetained = 536   ||  NMapping = 13/50  ||  time = 3.6588 sec |||  63/13400
NatomsRetained = 536   ||  NMapping = 14/50  ||  time = 3.5825 sec |||  64/13400
NatomsRetained = 536   ||  NMapping = 15/50  ||  time = 3.7722 sec |||  65/13400
NatomsRetained = 536   ||  NMapping = 16/50  ||  time = 3.7218 sec |||  66/13400
NatomsRetained = 536   ||  NMapping = 17/50  ||  time = 3.6480 sec |||  67/13400
NatomsRetained = 536   ||  NMapping = 18/50  ||  time = 3.6127 sec |||  68/13400
NatomsRetained = 536   ||  NMapping = 19/50  ||  time = 3.6965 sec |||  69/13400
NatomsRetained = 536   ||  NMapping = 20/50  ||  time = 3.6653 sec |||  70/13400
NatomsRetained = 536   ||  NMapping = 21/50  ||  time = 3.6642 sec |||  71/13400
NatomsRetained = 536   ||  NMapping = 22/50  ||  time = 3.7011 sec |||  72/13400
NatomsRetained = 536   ||  NMapping = 23/50  ||  time = 3.6014 sec |||  73/13400
NatomsRetained = 536   ||  NMapping = 24/50  ||  time = 3.5130 sec |||  74/13400
NatomsRetained = 536   ||  NMapping = 25/50  ||  time = 3.5705 sec |||  75/13400
NatomsRetained = 536   ||  NMapping = 26/50  ||  time = 3.5772 sec |||  76/13400
NatomsRetained = 536   ||  NMapping = 27/50  ||  time = 3.7629 sec |||  77/13400
NatomsRetained = 536   ||  NMapping = 28/50  ||  time = 5.3768 sec |||  78/13400
NatomsRetained = 536   ||  NMapping = 29/50  ||  time = 3.4990 sec |||  79/13400
NatomsRetained = 536   ||  NMapping = 30/50  ||  time = 3.5321 sec |||  80/13400
NatomsRetained = 536   ||  NMapping = 31/50  ||  time = 3.6957 sec |||  81/13400
NatomsRetained = 536   ||  NMapping = 32/50  ||  time = 3.6598 sec |||  82/13400
NatomsRetained = 536   ||  NMapping = 33/50  ||  time = 3.4956 sec |||  83/13400
NatomsRetained = 536   ||  NMapping = 34/50  ||  time = 3.4983 sec |||  84/13400
NatomsRetained = 536   ||  NMapping = 35/50  ||  time = 3.5982 sec |||  85/13400
NatomsRetained = 536   ||  NMapping = 36/50  ||  time = 3.6312 sec |||  86/13400
NatomsRetained = 536   ||  NMapping = 37/50  ||  time = 3.6856 sec |||  87/13400
NatomsRetained = 536   ||  NMapping = 38/50  ||  time = 3.5483 sec |||  88/13400
NatomsRetained = 536   ||  NMapping = 39/50  ||  time = 3.6415 sec |||  89/13400
NatomsRetained = 536   ||  NMapping = 40/50  ||  time = 3.6473 sec |||  90/13400
NatomsRetained = 536   ||  NMapping = 41/50  ||  time = 3.5498 sec |||  91/13400
NatomsRetained = 536   ||  NMapping = 42/50  ||  time = 3.5574 sec |||  92/13400
NatomsRetained = 536   ||  NMapping = 43/50  ||  time = 3.6888 sec |||  93/13400
NatomsRetained = 536   ||  NMapping = 44/50  ||  time = 3.6039 sec |||  94/13400
NatomsRetained = 536   ||  NMapping = 45/50  ||  time = 3.8367 sec |||  95/13400
NatomsRetained = 536   ||  NMapping = 46/50  ||  time = 3.6761 sec |||  96/13400
NatomsRetained = 536   ||  NMapping = 47/50  ||  time = 3.6846 sec |||  97/13400
NatomsRetained = 536   ||  NMapping = 48/50  ||  time = 3.6937 sec |||  98/13400
NatomsRetained = 536   ||  NMapping = 49/50  ||  time = 3.6155 sec |||  99/13400
NatomsRetained = 536   ||  NMapping = 50/50  ||  time = 3.6814 sec |||  100/13400
NatomsRetained = 534   ||  NMapping = 1/50  ||  time = 3.6207 sec |||  101/13400
NatomsRetained = 534   ||  NMapping = 2/50  ||  time = 3.6818 sec |||  102/13400
NatomsRetained = 534   ||  NMapping = 3/50  ||  time = 3.5932 sec |||  103/13400
NatomsRetained = 534   ||  NMapping = 4/50  ||  time = 3.6173 sec |||  104/13400
NatomsRetained = 534   ||  NMapping = 5/50  ||  time = 3.5930 sec |||  105/13400
NatomsRetained = 534   ||  NMapping = 6/50  ||  time = 3.5373 sec |||  106/13400
NatomsRetained = 534   ||  NMapping = 7/50  ||  time = 3.6140 sec |||  107/13400
NatomsRetained = 534   ||  NMapping = 8/50  ||  time = 3.6251 sec |||  108/13400
NatomsRetained = 534   ||  NMapping = 9/50  ||  time = 3.6543 sec |||  109/13400
NatomsRetained = 534   ||  NMapping = 10/50  ||  time = 3.6315 sec |||  110/13400
NatomsRetained = 534   ||  NMapping = 11/50  ||  time = 3.6390 sec |||  111/13400
NatomsRetained = 534   ||  NMapping = 12/50  ||  time = 3.6877 sec |||  112/13400
NatomsRetained = 534   ||  NMapping = 13/50  ||  time = 3.6811 sec |||  113/13400
NatomsRetained = 534   ||  NMapping = 14/50  ||  time = 3.5417 sec |||  114/13400
NatomsRetained = 534   ||  NMapping = 15/50  ||  time = 3.6540 sec |||  115/13400
NatomsRetained = 534   ||  NMapping = 16/50  ||  time = 3.6471 sec |||  116/13400
NatomsRetained = 534   ||  NMapping = 17/50  ||  time = 3.5656 sec |||  117/13400
NatomsRetained = 534   ||  NMapping = 18/50  ||  time = 3.4801 sec |||  118/13400
NatomsRetained = 534   ||  NMapping = 19/50  ||  time = 3.4853 sec |||  119/13400
NatomsRetained = 534   ||  NMapping = 20/50  ||  time = 3.5423 sec |||  120/13400
NatomsRetained = 534   ||  NMapping = 21/50  ||  time = 3.5984 sec |||  121/13400
NatomsRetained = 534   ||  NMapping = 22/50  ||  time = 3.7077 sec |||  122/13400
NatomsRetained = 534   ||  NMapping = 23/50  ||  time = 3.7508 sec |||  123/13400
NatomsRetained = 534   ||  NMapping = 24/50  ||  time = 3.5362 sec |||  124/13400
NatomsRetained = 534   ||  NMapping = 25/50  ||  time = 3.5876 sec |||  125/13400
NatomsRetained = 534   ||  NMapping = 26/50  ||  time = 3.5506 sec |||  126/13400
NatomsRetained = 534   ||  NMapping = 27/50  ||  time = 3.5954 sec |||  127/13400
NatomsRetained = 534   ||  NMapping = 28/50  ||  time = 3.5850 sec |||  128/13400
NatomsRetained = 534   ||  NMapping = 29/50  ||  time = 3.7336 sec |||  129/13400
NatomsRetained = 534   ||  NMapping = 30/50  ||  time = 3.5842 sec |||  130/13400
NatomsRetained = 534   ||  NMapping = 31/50  ||  time = 3.5289 sec |||  131/13400
NatomsRetained = 534   ||  NMapping = 32/50  ||  time = 3.7206 sec |||  132/13400
NatomsRetained = 534   ||  NMapping = 33/50  ||  time = 3.5419 sec |||  133/13400
NatomsRetained = 534   ||  NMapping = 34/50  ||  time = 3.6219 sec |||  134/13400
NatomsRetained = 534   ||  NMapping = 35/50  ||  time = 3.5453 sec |||  135/13400
NatomsRetained = 534   ||  NMapping = 36/50  ||  time = 3.4996 sec |||  136/13400
NatomsRetained = 534   ||  NMapping = 37/50  ||  time = 3.5742 sec |||  137/13400
NatomsRetained = 534   ||  NMapping = 38/50  ||  time = 3.6956 sec |||  138/13400
NatomsRetained = 534   ||  NMapping = 39/50  ||  time = 3.7994 sec |||  139/13400
NatomsRetained = 534   ||  NMapping = 40/50  ||  time = 3.6038 sec |||  140/13400
NatomsRetained = 534   ||  NMapping = 41/50  ||  time = 3.5939 sec |||  141/13400
NatomsRetained = 534   ||  NMapping = 42/50  ||  time = 3.5120 sec |||  142/13400
NatomsRetained = 534   ||  NMapping = 43/50  ||  time = 3.6477 sec |||  143/13400
NatomsRetained = 534   ||  NMapping = 44/50  ||  time = 3.5857 sec |||  144/13400
NatomsRetained = 534   ||  NMapping = 45/50  ||  time = 3.5842 sec |||  145/13400
NatomsRetained = 534   ||  NMapping = 46/50  ||  time = 3.5579 sec |||  146/13400
NatomsRetained = 534   ||  NMapping = 47/50  ||  time = 3.6083 sec |||  147/13400
NatomsRetained = 534   ||  NMapping = 48/50  ||  time = 3.4682 sec |||  148/13400
NatomsRetained = 534   ||  NMapping = 49/50  ||  time = 3.6508 sec |||  149/13400
NatomsRetained = 534   ||  NMapping = 50/50  ||  time = 3.7022 sec |||  150/13400
NatomsRetained = 532   ||  NMapping = 1/50  ||  time = 3.6800 sec |||  151/13400
NatomsRetained = 532   ||  NMapping = 2/50  ||  time = 3.5562 sec |||  152/13400
NatomsRetained = 532   ||  NMapping = 3/50  ||  time = 3.6221 sec |||  153/13400
NatomsRetained = 532   ||  NMapping = 4/50  ||  time = 3.5201 sec |||  154/13400
NatomsRetained = 532   ||  NMapping = 5/50  ||  time = 3.5781 sec |||  155/13400
NatomsRetained = 532   ||  NMapping = 6/50  ||  time = 3.5656 sec |||  156/13400
NatomsRetained = 532   ||  NMapping = 7/50  ||  time = 3.6084 sec |||  157/13400
NatomsRetained = 532   ||  NMapping = 8/50  ||  time = 3.5036 sec |||  158/13400
NatomsRetained = 532   ||  NMapping = 9/50  ||  time = 3.7351 sec |||  159/13400
NatomsRetained = 532   ||  NMapping = 10/50  ||  time = 3.5805 sec |||  160/13400
NatomsRetained = 532   ||  NMapping = 11/50  ||  time = 3.5978 sec |||  161/13400
NatomsRetained = 532   ||  NMapping = 12/50  ||  time = 3.6202 sec |||  162/13400
NatomsRetained = 532   ||  NMapping = 13/50  ||  time = 3.6740 sec |||  163/13400
NatomsRetained = 532   ||  NMapping = 14/50  ||  time = 3.6481 sec |||  164/13400
NatomsRetained = 532   ||  NMapping = 15/50  ||  time = 3.6439 sec |||  165/13400
NatomsRetained = 532   ||  NMapping = 16/50  ||  time = 3.5918 sec |||  166/13400
NatomsRetained = 532   ||  NMapping = 17/50  ||  time = 3.7144 sec |||  167/13400
NatomsRetained = 532   ||  NMapping = 18/50  ||  time = 3.4629 sec |||  168/13400
NatomsRetained = 532   ||  NMapping = 19/50  ||  time = 3.7349 sec |||  169/13400
NatomsRetained = 532   ||  NMapping = 20/50  ||  time = 3.7409 sec |||  170/13400
NatomsRetained = 532   ||  NMapping = 21/50  ||  time = 3.7099 sec |||  171/13400
NatomsRetained = 532   ||  NMapping = 22/50  ||  time = 3.6579 sec |||  172/13400
NatomsRetained = 532   ||  NMapping = 23/50  ||  time = 3.6071 sec |||  173/13400
NatomsRetained = 532   ||  NMapping = 24/50  ||  time = 3.6126 sec |||  174/13400
NatomsRetained = 532   ||  NMapping = 25/50  ||  time = 3.6475 sec |||  175/13400
NatomsRetained = 532   ||  NMapping = 26/50  ||  time = 3.6212 sec |||  176/13400
NatomsRetained = 532   ||  NMapping = 27/50  ||  time = 3.5758 sec |||  177/13400
NatomsRetained = 532   ||  NMapping = 28/50  ||  time = 3.6082 sec |||  178/13400
NatomsRetained = 532   ||  NMapping = 29/50  ||  time = 3.5614 sec |||  179/13400
NatomsRetained = 532   ||  NMapping = 30/50  ||  time = 3.5644 sec |||  180/13400
NatomsRetained = 532   ||  NMapping = 31/50  ||  time = 3.6615 sec |||  181/13400
NatomsRetained = 532   ||  NMapping = 32/50  ||  time = 3.5670 sec |||  182/13400
NatomsRetained = 532   ||  NMapping = 33/50  ||  time = 3.5070 sec |||  183/13400
NatomsRetained = 532   ||  NMapping = 34/50  ||  time = 3.6540 sec |||  184/13400
NatomsRetained = 532   ||  NMapping = 35/50  ||  time = 3.4716 sec |||  185/13400
NatomsRetained = 532   ||  NMapping = 36/50  ||  time = 3.4902 sec |||  186/13400
NatomsRetained = 532   ||  NMapping = 37/50  ||  time = 3.6336 sec |||  187/13400
NatomsRetained = 532   ||  NMapping = 38/50  ||  time = 3.6770 sec |||  188/13400
NatomsRetained = 532   ||  NMapping = 39/50  ||  time = 3.6939 sec |||  189/13400
NatomsRetained = 532   ||  NMapping = 40/50  ||  time = 3.5786 sec |||  190/13400
NatomsRetained = 532   ||  NMapping = 41/50  ||  time = 3.4569 sec |||  191/13400
NatomsRetained = 532   ||  NMapping = 42/50  ||  time = 3.5471 sec |||  192/13400
NatomsRetained = 532   ||  NMapping = 43/50  ||  time = 3.5307 sec |||  193/13400
NatomsRetained = 532   ||  NMapping = 44/50  ||  time = 3.5041 sec |||  194/13400
NatomsRetained = 532   ||  NMapping = 45/50  ||  time = 3.5810 sec |||  195/13400
NatomsRetained = 532   ||  NMapping = 46/50  ||  time = 3.4431 sec |||  196/13400
NatomsRetained = 532   ||  NMapping = 47/50  ||  time = 3.6128 sec |||  197/13400
NatomsRetained = 532   ||  NMapping = 48/50  ||  time = 3.6218 sec |||  198/13400
NatomsRetained = 532   ||  NMapping = 49/50  ||  time = 3.5000 sec |||  199/13400
NatomsRetained = 532   ||  NMapping = 50/50  ||  time = 3.4838 sec |||  200/13400
NatomsRetained = 530   ||  NMapping = 1/50  ||  time = 3.5470 sec |||  201/13400
NatomsRetained = 530   ||  NMapping = 2/50  ||  time = 3.5944 sec |||  202/13400
NatomsRetained = 530   ||  NMapping = 3/50  ||  time = 3.5417 sec |||  203/13400
NatomsRetained = 530   ||  NMapping = 4/50  ||  time = 3.5563 sec |||  204/13400
NatomsRetained = 530   ||  NMapping = 5/50  ||  time = 3.5924 sec |||  205/13400
NatomsRetained = 530   ||  NMapping = 6/50  ||  time = 3.5821 sec |||  206/13400
NatomsRetained = 530   ||  NMapping = 7/50  ||  time = 3.6429 sec |||  207/13400
NatomsRetained = 530   ||  NMapping = 8/50  ||  time = 3.5551 sec |||  208/13400
NatomsRetained = 530   ||  NMapping = 9/50  ||  time = 3.6474 sec |||  209/13400
NatomsRetained = 530   ||  NMapping = 10/50  ||  time = 3.6115 sec |||  210/13400
NatomsRetained = 530   ||  NMapping = 11/50  ||  time = 3.5752 sec |||  211/13400
NatomsRetained = 530   ||  NMapping = 12/50  ||  time = 3.5669 sec |||  212/13400
NatomsRetained = 530   ||  NMapping = 13/50  ||  time = 3.5588 sec |||  213/13400
NatomsRetained = 530   ||  NMapping = 14/50  ||  time = 3.4894 sec |||  214/13400
NatomsRetained = 530   ||  NMapping = 15/50  ||  time = 3.5765 sec |||  215/13400
NatomsRetained = 530   ||  NMapping = 16/50  ||  time = 3.5558 sec |||  216/13400
NatomsRetained = 530   ||  NMapping = 17/50  ||  time = 3.4796 sec |||  217/13400
NatomsRetained = 530   ||  NMapping = 18/50  ||  time = 3.6288 sec |||  218/13400
NatomsRetained = 530   ||  NMapping = 19/50  ||  time = 3.5903 sec |||  219/13400
NatomsRetained = 530   ||  NMapping = 20/50  ||  time = 3.5797 sec |||  220/13400
NatomsRetained = 530   ||  NMapping = 21/50  ||  time = 3.5919 sec |||  221/13400
NatomsRetained = 530   ||  NMapping = 22/50  ||  time = 3.4597 sec |||  222/13400
