NatomsRetained = 433   ||  NMapping = 1/50  ||  time = 3.3943 sec |||  1/10800
NatomsRetained = 433   ||  NMapping = 2/50  ||  time = 3.5704 sec |||  2/10800
NatomsRetained = 433   ||  NMapping = 3/50  ||  time = 3.3106 sec |||  3/10800
NatomsRetained = 433   ||  NMapping = 4/50  ||  time = 3.3563 sec |||  4/10800
NatomsRetained = 433   ||  NMapping = 5/50  ||  time = 3.4473 sec |||  5/10800
NatomsRetained = 433   ||  NMapping = 6/50  ||  time = 3.4151 sec |||  6/10800
NatomsRetained = 433   ||  NMapping = 7/50  ||  time = 3.4416 sec |||  7/10800
NatomsRetained = 433   ||  NMapping = 8/50  ||  time = 3.4510 sec |||  8/10800
NatomsRetained = 433   ||  NMapping = 9/50  ||  time = 3.3643 sec |||  9/10800
NatomsRetained = 433   ||  NMapping = 10/50  ||  time = 3.4400 sec |||  10/10800
NatomsRetained = 433   ||  NMapping = 11/50  ||  time = 3.5795 sec |||  11/10800
NatomsRetained = 433   ||  NMapping = 12/50  ||  time = 3.2243 sec |||  12/10800
NatomsRetained = 433   ||  NMapping = 13/50  ||  time = 3.3954 sec |||  13/10800
NatomsRetained = 433   ||  NMapping = 14/50  ||  time = 3.3049 sec |||  14/10800
NatomsRetained = 433   ||  NMapping = 15/50  ||  time = 3.3836 sec |||  15/10800
NatomsRetained = 433   ||  NMapping = 16/50  ||  time = 3.5745 sec |||  16/10800
NatomsRetained = 433   ||  NMapping = 17/50  ||  time = 3.3468 sec |||  17/10800
NatomsRetained = 433   ||  NMapping = 18/50  ||  time = 3.3590 sec |||  18/10800
NatomsRetained = 433   ||  NMapping = 19/50  ||  time = 3.3422 sec |||  19/10800
NatomsRetained = 433   ||  NMapping = 20/50  ||  time = 3.3179 sec |||  20/10800
NatomsRetained = 433   ||  NMapping = 21/50  ||  time = 3.3379 sec |||  21/10800
NatomsRetained = 433   ||  NMapping = 22/50  ||  time = 3.2970 sec |||  22/10800
NatomsRetained = 433   ||  NMapping = 23/50  ||  time = 3.4727 sec |||  23/10800
NatomsRetained = 433   ||  NMapping = 24/50  ||  time = 3.3509 sec |||  24/10800
NatomsRetained = 433   ||  NMapping = 25/50  ||  time = 3.5615 sec |||  25/10800
NatomsRetained = 433   ||  NMapping = 26/50  ||  time = 3.2962 sec |||  26/10800
NatomsRetained = 433   ||  NMapping = 27/50  ||  time = 3.4697 sec |||  27/10800
