NatomsRetained = 439   ||  NMapping = 1/50  ||  time = 3.3508 sec |||  1/10950
NatomsRetained = 439   ||  NMapping = 2/50  ||  time = 3.0919 sec |||  2/10950
NatomsRetained = 439   ||  NMapping = 3/50  ||  time = 3.1640 sec |||  3/10950
NatomsRetained = 439   ||  NMapping = 4/50  ||  time = 3.2635 sec |||  4/10950
NatomsRetained = 439   ||  NMapping = 5/50  ||  time = 3.0187 sec |||  5/10950
NatomsRetained = 439   ||  NMapping = 6/50  ||  time = 3.2601 sec |||  6/10950
NatomsRetained = 439   ||  NMapping = 7/50  ||  time = 3.2733 sec |||  7/10950
NatomsRetained = 439   ||  NMapping = 8/50  ||  time = 3.2888 sec |||  8/10950
NatomsRetained = 439   ||  NMapping = 9/50  ||  time = 3.2039 sec |||  9/10950
NatomsRetained = 439   ||  NMapping = 10/50  ||  time = 3.2719 sec |||  10/10950
NatomsRetained = 439   ||  NMapping = 11/50  ||  time = 3.2527 sec |||  11/10950
NatomsRetained = 439   ||  NMapping = 12/50  ||  time = 3.2416 sec |||  12/10950
NatomsRetained = 439   ||  NMapping = 13/50  ||  time = 3.1984 sec |||  13/10950
NatomsRetained = 439   ||  NMapping = 14/50  ||  time = 3.2304 sec |||  14/10950
NatomsRetained = 439   ||  NMapping = 15/50  ||  time = 3.1627 sec |||  15/10950
NatomsRetained = 439   ||  NMapping = 16/50  ||  time = 3.1730 sec |||  16/10950
NatomsRetained = 439   ||  NMapping = 17/50  ||  time = 3.0943 sec |||  17/10950
NatomsRetained = 439   ||  NMapping = 18/50  ||  time = 3.1809 sec |||  18/10950
NatomsRetained = 439   ||  NMapping = 19/50  ||  time = 3.1513 sec |||  19/10950
NatomsRetained = 439   ||  NMapping = 20/50  ||  time = 3.2374 sec |||  20/10950
NatomsRetained = 439   ||  NMapping = 21/50  ||  time = 3.0999 sec |||  21/10950
NatomsRetained = 439   ||  NMapping = 22/50  ||  time = 3.2444 sec |||  22/10950
NatomsRetained = 439   ||  NMapping = 23/50  ||  time = 3.2335 sec |||  23/10950
NatomsRetained = 439   ||  NMapping = 24/50  ||  time = 3.2713 sec |||  24/10950
NatomsRetained = 439   ||  NMapping = 25/50  ||  time = 3.2141 sec |||  25/10950
NatomsRetained = 439   ||  NMapping = 26/50  ||  time = 3.1677 sec |||  26/10950
NatomsRetained = 439   ||  NMapping = 27/50  ||  time = 3.0576 sec |||  27/10950
NatomsRetained = 439   ||  NMapping = 28/50  ||  time = 3.2361 sec |||  28/10950
NatomsRetained = 439   ||  NMapping = 29/50  ||  time = 3.1254 sec |||  29/10950
NatomsRetained = 439   ||  NMapping = 30/50  ||  time = 3.2375 sec |||  30/10950
NatomsRetained = 439   ||  NMapping = 31/50  ||  time = 3.2925 sec |||  31/10950
NatomsRetained = 439   ||  NMapping = 32/50  ||  time = 3.4018 sec |||  32/10950
NatomsRetained = 439   ||  NMapping = 33/50  ||  time = 3.1609 sec |||  33/10950
NatomsRetained = 439   ||  NMapping = 34/50  ||  time = 3.0772 sec |||  34/10950
NatomsRetained = 439   ||  NMapping = 35/50  ||  time = 3.1988 sec |||  35/10950
NatomsRetained = 439   ||  NMapping = 36/50  ||  time = 3.2606 sec |||  36/10950
NatomsRetained = 439   ||  NMapping = 37/50  ||  time = 3.2568 sec |||  37/10950
NatomsRetained = 439   ||  NMapping = 38/50  ||  time = 3.1984 sec |||  38/10950
NatomsRetained = 439   ||  NMapping = 39/50  ||  time = 3.3409 sec |||  39/10950
NatomsRetained = 439   ||  NMapping = 40/50  ||  time = 3.0860 sec |||  40/10950
NatomsRetained = 439   ||  NMapping = 41/50  ||  time = 3.2041 sec |||  41/10950
NatomsRetained = 439   ||  NMapping = 42/50  ||  time = 3.2150 sec |||  42/10950
NatomsRetained = 439   ||  NMapping = 43/50  ||  time = 3.3084 sec |||  43/10950
NatomsRetained = 439   ||  NMapping = 44/50  ||  time = 3.3566 sec |||  44/10950
NatomsRetained = 439   ||  NMapping = 45/50  ||  time = 3.3399 sec |||  45/10950
NatomsRetained = 439   ||  NMapping = 46/50  ||  time = 3.3530 sec |||  46/10950
NatomsRetained = 439   ||  NMapping = 47/50  ||  time = 3.3737 sec |||  47/10950
NatomsRetained = 439   ||  NMapping = 48/50  ||  time = 3.3712 sec |||  48/10950
NatomsRetained = 439   ||  NMapping = 49/50  ||  time = 3.3794 sec |||  49/10950
NatomsRetained = 439   ||  NMapping = 50/50  ||  time = 3.2910 sec |||  50/10950
NatomsRetained = 437   ||  NMapping = 1/50  ||  time = 3.3017 sec |||  51/10950
NatomsRetained = 437   ||  NMapping = 2/50  ||  time = 3.2667 sec |||  52/10950
NatomsRetained = 437   ||  NMapping = 3/50  ||  time = 3.2353 sec |||  53/10950
NatomsRetained = 437   ||  NMapping = 4/50  ||  time = 3.2009 sec |||  54/10950
NatomsRetained = 437   ||  NMapping = 5/50  ||  time = 3.1781 sec |||  55/10950
NatomsRetained = 437   ||  NMapping = 6/50  ||  time = 3.3735 sec |||  56/10950
NatomsRetained = 437   ||  NMapping = 7/50  ||  time = 3.1414 sec |||  57/10950
NatomsRetained = 437   ||  NMapping = 8/50  ||  time = 3.3317 sec |||  58/10950
NatomsRetained = 437   ||  NMapping = 9/50  ||  time = 3.2750 sec |||  59/10950
NatomsRetained = 437   ||  NMapping = 10/50  ||  time = 3.2247 sec |||  60/10950
NatomsRetained = 437   ||  NMapping = 11/50  ||  time = 3.1411 sec |||  61/10950
NatomsRetained = 437   ||  NMapping = 12/50  ||  time = 3.2936 sec |||  62/10950
NatomsRetained = 437   ||  NMapping = 13/50  ||  time = 3.2045 sec |||  63/10950
NatomsRetained = 437   ||  NMapping = 14/50  ||  time = 3.0597 sec |||  64/10950
NatomsRetained = 437   ||  NMapping = 15/50  ||  time = 3.1236 sec |||  65/10950
NatomsRetained = 437   ||  NMapping = 16/50  ||  time = 3.2278 sec |||  66/10950
NatomsRetained = 437   ||  NMapping = 17/50  ||  time = 3.3594 sec |||  67/10950
NatomsRetained = 437   ||  NMapping = 18/50  ||  time = 3.3610 sec |||  68/10950
NatomsRetained = 437   ||  NMapping = 19/50  ||  time = 3.2495 sec |||  69/10950
NatomsRetained = 437   ||  NMapping = 20/50  ||  time = 3.3219 sec |||  70/10950
NatomsRetained = 437   ||  NMapping = 21/50  ||  time = 3.2924 sec |||  71/10950
NatomsRetained = 437   ||  NMapping = 22/50  ||  time = 3.1314 sec |||  72/10950
NatomsRetained = 437   ||  NMapping = 23/50  ||  time = 3.3185 sec |||  73/10950
NatomsRetained = 437   ||  NMapping = 24/50  ||  time = 3.3253 sec |||  74/10950
NatomsRetained = 437   ||  NMapping = 25/50  ||  time = 3.3492 sec |||  75/10950
NatomsRetained = 437   ||  NMapping = 26/50  ||  time = 3.1716 sec |||  76/10950
NatomsRetained = 437   ||  NMapping = 27/50  ||  time = 3.1346 sec |||  77/10950
NatomsRetained = 437   ||  NMapping = 28/50  ||  time = 3.3473 sec |||  78/10950
NatomsRetained = 437   ||  NMapping = 29/50  ||  time = 3.3334 sec |||  79/10950
NatomsRetained = 437   ||  NMapping = 30/50  ||  time = 3.1900 sec |||  80/10950
NatomsRetained = 437   ||  NMapping = 31/50  ||  time = 3.1179 sec |||  81/10950
NatomsRetained = 437   ||  NMapping = 32/50  ||  time = 3.3077 sec |||  82/10950
NatomsRetained = 437   ||  NMapping = 33/50  ||  time = 3.1788 sec |||  83/10950
NatomsRetained = 437   ||  NMapping = 34/50  ||  time = 3.2376 sec |||  84/10950
NatomsRetained = 437   ||  NMapping = 35/50  ||  time = 3.2951 sec |||  85/10950
NatomsRetained = 437   ||  NMapping = 36/50  ||  time = 3.3286 sec |||  86/10950
NatomsRetained = 437   ||  NMapping = 37/50  ||  time = 3.2509 sec |||  87/10950
NatomsRetained = 437   ||  NMapping = 38/50  ||  time = 3.2641 sec |||  88/10950
NatomsRetained = 437   ||  NMapping = 39/50  ||  time = 3.2782 sec |||  89/10950
NatomsRetained = 437   ||  NMapping = 40/50  ||  time = 3.1223 sec |||  90/10950
NatomsRetained = 437   ||  NMapping = 41/50  ||  time = 3.2392 sec |||  91/10950
NatomsRetained = 437   ||  NMapping = 42/50  ||  time = 3.2900 sec |||  92/10950
NatomsRetained = 437   ||  NMapping = 43/50  ||  time = 3.2343 sec |||  93/10950
NatomsRetained = 437   ||  NMapping = 44/50  ||  time = 3.2178 sec |||  94/10950
NatomsRetained = 437   ||  NMapping = 45/50  ||  time = 3.1085 sec |||  95/10950
NatomsRetained = 437   ||  NMapping = 46/50  ||  time = 3.1045 sec |||  96/10950
NatomsRetained = 437   ||  NMapping = 47/50  ||  time = 3.2292 sec |||  97/10950
NatomsRetained = 437   ||  NMapping = 48/50  ||  time = 3.2388 sec |||  98/10950
NatomsRetained = 437   ||  NMapping = 49/50  ||  time = 3.1328 sec |||  99/10950
NatomsRetained = 437   ||  NMapping = 50/50  ||  time = 3.2807 sec |||  100/10950
NatomsRetained = 435   ||  NMapping = 1/50  ||  time = 3.1046 sec |||  101/10950
