NatomsRetained = 1309   ||  NMapping = 1/50  ||  time = 6.4641 sec |||  1/10900
NatomsRetained = 1309   ||  NMapping = 2/50  ||  time = 6.4040 sec |||  2/10900
NatomsRetained = 1309   ||  NMapping = 3/50  ||  time = 6.2577 sec |||  3/10900
NatomsRetained = 1309   ||  NMapping = 4/50  ||  time = 6.3005 sec |||  4/10900
NatomsRetained = 1309   ||  NMapping = 5/50  ||  time = 6.3260 sec |||  5/10900
NatomsRetained = 1309   ||  NMapping = 6/50  ||  time = 6.3033 sec |||  6/10900
NatomsRetained = 1309   ||  NMapping = 7/50  ||  time = 6.3356 sec |||  7/10900
NatomsRetained = 1309   ||  NMapping = 8/50  ||  time = 6.2728 sec |||  8/10900
NatomsRetained = 1309   ||  NMapping = 9/50  ||  time = 6.3070 sec |||  9/10900
NatomsRetained = 1309   ||  NMapping = 10/50  ||  time = 6.3978 sec |||  10/10900
NatomsRetained = 1309   ||  NMapping = 11/50  ||  time = 6.2600 sec |||  11/10900
NatomsRetained = 1309   ||  NMapping = 12/50  ||  time = 6.2228 sec |||  12/10900
NatomsRetained = 1309   ||  NMapping = 13/50  ||  time = 6.1965 sec |||  13/10900
NatomsRetained = 1309   ||  NMapping = 14/50  ||  time = 6.2040 sec |||  14/10900
NatomsRetained = 1309   ||  NMapping = 15/50  ||  time = 6.4064 sec |||  15/10900
NatomsRetained = 1309   ||  NMapping = 16/50  ||  time = 6.1892 sec |||  16/10900
NatomsRetained = 1309   ||  NMapping = 17/50  ||  time = 6.1598 sec |||  17/10900
NatomsRetained = 1309   ||  NMapping = 18/50  ||  time = 6.3129 sec |||  18/10900
NatomsRetained = 1309   ||  NMapping = 19/50  ||  time = 6.2330 sec |||  19/10900
NatomsRetained = 1309   ||  NMapping = 20/50  ||  time = 6.1714 sec |||  20/10900
NatomsRetained = 1309   ||  NMapping = 21/50  ||  time = 6.4401 sec |||  21/10900
NatomsRetained = 1309   ||  NMapping = 22/50  ||  time = 6.1401 sec |||  22/10900
NatomsRetained = 1309   ||  NMapping = 23/50  ||  time = 6.5078 sec |||  23/10900
NatomsRetained = 1309   ||  NMapping = 24/50  ||  time = 6.3249 sec |||  24/10900
NatomsRetained = 1309   ||  NMapping = 25/50  ||  time = 6.4895 sec |||  25/10900
NatomsRetained = 1309   ||  NMapping = 26/50  ||  time = 6.4731 sec |||  26/10900
NatomsRetained = 1309   ||  NMapping = 27/50  ||  time = 6.2920 sec |||  27/10900
NatomsRetained = 1309   ||  NMapping = 28/50  ||  time = 6.2413 sec |||  28/10900
NatomsRetained = 1309   ||  NMapping = 29/50  ||  time = 6.2892 sec |||  29/10900
NatomsRetained = 1309   ||  NMapping = 30/50  ||  time = 6.2778 sec |||  30/10900
NatomsRetained = 1309   ||  NMapping = 31/50  ||  time = 6.2992 sec |||  31/10900
