NatomsRetained = 1309   ||  NMapping = 1/50  ||  time = 5.6777 sec |||  1/10900
NatomsRetained = 1309   ||  NMapping = 2/50  ||  time = 5.9148 sec |||  2/10900
NatomsRetained = 1309   ||  NMapping = 3/50  ||  time = 5.8314 sec |||  3/10900
NatomsRetained = 1309   ||  NMapping = 4/50  ||  time = 5.9607 sec |||  4/10900
NatomsRetained = 1309   ||  NMapping = 5/50  ||  time = 5.9285 sec |||  5/10900
NatomsRetained = 1309   ||  NMapping = 6/50  ||  time = 5.9477 sec |||  6/10900
NatomsRetained = 1309   ||  NMapping = 7/50  ||  time = 5.8622 sec |||  7/10900
NatomsRetained = 1309   ||  NMapping = 8/50  ||  time = 6.2427 sec |||  8/10900
NatomsRetained = 1309   ||  NMapping = 9/50  ||  time = 5.8943 sec |||  9/10900
NatomsRetained = 1309   ||  NMapping = 10/50  ||  time = 6.0687 sec |||  10/10900
NatomsRetained = 1309   ||  NMapping = 11/50  ||  time = 6.0066 sec |||  11/10900
NatomsRetained = 1309   ||  NMapping = 12/50  ||  time = 6.2364 sec |||  12/10900
NatomsRetained = 1309   ||  NMapping = 13/50  ||  time = 6.2832 sec |||  13/10900
NatomsRetained = 1309   ||  NMapping = 14/50  ||  time = 6.1828 sec |||  14/10900
NatomsRetained = 1309   ||  NMapping = 15/50  ||  time = 6.0536 sec |||  15/10900
NatomsRetained = 1309   ||  NMapping = 16/50  ||  time = 5.9214 sec |||  16/10900
NatomsRetained = 1309   ||  NMapping = 17/50  ||  time = 6.0738 sec |||  17/10900
NatomsRetained = 1309   ||  NMapping = 18/50  ||  time = 6.0329 sec |||  18/10900
NatomsRetained = 1309   ||  NMapping = 19/50  ||  time = 5.9462 sec |||  19/10900
NatomsRetained = 1309   ||  NMapping = 20/50  ||  time = 5.9211 sec |||  20/10900
NatomsRetained = 1309   ||  NMapping = 21/50  ||  time = 6.1133 sec |||  21/10900
NatomsRetained = 1309   ||  NMapping = 22/50  ||  time = 5.8692 sec |||  22/10900
NatomsRetained = 1309   ||  NMapping = 23/50  ||  time = 6.3798 sec |||  23/10900
NatomsRetained = 1309   ||  NMapping = 24/50  ||  time = 6.0903 sec |||  24/10900
NatomsRetained = 1309   ||  NMapping = 25/50  ||  time = 6.1203 sec |||  25/10900
NatomsRetained = 1309   ||  NMapping = 26/50  ||  time = 6.2971 sec |||  26/10900
