NatomsRetained = 760   ||  NMapping = 1/50  ||  time = 4.4622 sec |||  1/12650
NatomsRetained = 760   ||  NMapping = 2/50  ||  time = 4.6625 sec |||  2/12650
NatomsRetained = 760   ||  NMapping = 3/50  ||  time = 4.4930 sec |||  3/12650
NatomsRetained = 760   ||  NMapping = 4/50  ||  time = 4.4020 sec |||  4/12650
NatomsRetained = 760   ||  NMapping = 5/50  ||  time = 4.4845 sec |||  5/12650
NatomsRetained = 760   ||  NMapping = 6/50  ||  time = 4.3184 sec |||  6/12650
NatomsRetained = 760   ||  NMapping = 7/50  ||  time = 4.5286 sec |||  7/12650
NatomsRetained = 760   ||  NMapping = 8/50  ||  time = 4.4176 sec |||  8/12650
NatomsRetained = 760   ||  NMapping = 9/50  ||  time = 4.6300 sec |||  9/12650
NatomsRetained = 760   ||  NMapping = 10/50  ||  time = 4.3529 sec |||  10/12650
NatomsRetained = 760   ||  NMapping = 11/50  ||  time = 4.4867 sec |||  11/12650
NatomsRetained = 760   ||  NMapping = 12/50  ||  time = 4.2810 sec |||  12/12650
NatomsRetained = 760   ||  NMapping = 13/50  ||  time = 4.4629 sec |||  13/12650
NatomsRetained = 760   ||  NMapping = 14/50  ||  time = 4.5454 sec |||  14/12650
NatomsRetained = 760   ||  NMapping = 15/50  ||  time = 4.3480 sec |||  15/12650
NatomsRetained = 760   ||  NMapping = 16/50  ||  time = 4.4144 sec |||  16/12650
NatomsRetained = 760   ||  NMapping = 17/50  ||  time = 4.3447 sec |||  17/12650
NatomsRetained = 760   ||  NMapping = 18/50  ||  time = 4.3849 sec |||  18/12650
NatomsRetained = 760   ||  NMapping = 19/50  ||  time = 4.3882 sec |||  19/12650
NatomsRetained = 760   ||  NMapping = 20/50  ||  time = 4.3990 sec |||  20/12650
NatomsRetained = 760   ||  NMapping = 21/50  ||  time = 4.5984 sec |||  21/12650
NatomsRetained = 760   ||  NMapping = 22/50  ||  time = 4.4036 sec |||  22/12650
NatomsRetained = 760   ||  NMapping = 23/50  ||  time = 4.3615 sec |||  23/12650
NatomsRetained = 760   ||  NMapping = 24/50  ||  time = 4.3494 sec |||  24/12650
NatomsRetained = 760   ||  NMapping = 25/50  ||  time = 4.4176 sec |||  25/12650
NatomsRetained = 760   ||  NMapping = 26/50  ||  time = 4.4340 sec |||  26/12650
NatomsRetained = 760   ||  NMapping = 27/50  ||  time = 4.4152 sec |||  27/12650
NatomsRetained = 760   ||  NMapping = 28/50  ||  time = 4.3253 sec |||  28/12650
NatomsRetained = 760   ||  NMapping = 29/50  ||  time = 4.4804 sec |||  29/12650
NatomsRetained = 760   ||  NMapping = 30/50  ||  time = 4.3919 sec |||  30/12650
NatomsRetained = 760   ||  NMapping = 31/50  ||  time = 4.3468 sec |||  31/12650
NatomsRetained = 760   ||  NMapping = 32/50  ||  time = 4.3369 sec |||  32/12650
NatomsRetained = 760   ||  NMapping = 33/50  ||  time = 4.4638 sec |||  33/12650
NatomsRetained = 760   ||  NMapping = 34/50  ||  time = 4.4173 sec |||  34/12650
NatomsRetained = 760   ||  NMapping = 35/50  ||  time = 4.4316 sec |||  35/12650
NatomsRetained = 760   ||  NMapping = 36/50  ||  time = 4.2497 sec |||  36/12650
NatomsRetained = 760   ||  NMapping = 37/50  ||  time = 4.3289 sec |||  37/12650
NatomsRetained = 760   ||  NMapping = 38/50  ||  time = 4.4272 sec |||  38/12650
NatomsRetained = 760   ||  NMapping = 39/50  ||  time = 4.5181 sec |||  39/12650
NatomsRetained = 760   ||  NMapping = 40/50  ||  time = 4.4296 sec |||  40/12650
