NatomsRetained = 472   ||  NMapping = 1/50  ||  time = 3.0958 sec |||  1/11750
NatomsRetained = 472   ||  NMapping = 2/50  ||  time = 3.2217 sec |||  2/11750
NatomsRetained = 472   ||  NMapping = 3/50  ||  time = 3.1618 sec |||  3/11750
NatomsRetained = 472   ||  NMapping = 4/50  ||  time = 3.0476 sec |||  4/11750
NatomsRetained = 472   ||  NMapping = 5/50  ||  time = 3.1593 sec |||  5/11750
NatomsRetained = 472   ||  NMapping = 6/50  ||  time = 3.0404 sec |||  6/11750
NatomsRetained = 472   ||  NMapping = 7/50  ||  time = 3.1310 sec |||  7/11750
NatomsRetained = 472   ||  NMapping = 8/50  ||  time = 3.1023 sec |||  8/11750
NatomsRetained = 472   ||  NMapping = 9/50  ||  time = 3.1389 sec |||  9/11750
NatomsRetained = 472   ||  NMapping = 10/50  ||  time = 3.0654 sec |||  10/11750
NatomsRetained = 472   ||  NMapping = 11/50  ||  time = 3.1320 sec |||  11/11750
NatomsRetained = 472   ||  NMapping = 12/50  ||  time = 3.1247 sec |||  12/11750
NatomsRetained = 472   ||  NMapping = 13/50  ||  time = 3.1580 sec |||  13/11750
NatomsRetained = 472   ||  NMapping = 14/50  ||  time = 2.9977 sec |||  14/11750
NatomsRetained = 472   ||  NMapping = 15/50  ||  time = 3.1228 sec |||  15/11750
NatomsRetained = 472   ||  NMapping = 16/50  ||  time = 3.0976 sec |||  16/11750
NatomsRetained = 472   ||  NMapping = 17/50  ||  time = 3.1504 sec |||  17/11750
NatomsRetained = 472   ||  NMapping = 18/50  ||  time = 3.1243 sec |||  18/11750
NatomsRetained = 472   ||  NMapping = 19/50  ||  time = 3.2544 sec |||  19/11750
NatomsRetained = 472   ||  NMapping = 20/50  ||  time = 3.2378 sec |||  20/11750
NatomsRetained = 472   ||  NMapping = 21/50  ||  time = 3.2370 sec |||  21/11750
NatomsRetained = 472   ||  NMapping = 22/50  ||  time = 3.2279 sec |||  22/11750
NatomsRetained = 472   ||  NMapping = 23/50  ||  time = 3.3419 sec |||  23/11750
NatomsRetained = 472   ||  NMapping = 24/50  ||  time = 3.4687 sec |||  24/11750
NatomsRetained = 472   ||  NMapping = 25/50  ||  time = 3.4592 sec |||  25/11750
NatomsRetained = 472   ||  NMapping = 26/50  ||  time = 3.3200 sec |||  26/11750
NatomsRetained = 472   ||  NMapping = 27/50  ||  time = 3.3556 sec |||  27/11750
NatomsRetained = 472   ||  NMapping = 28/50  ||  time = 3.4173 sec |||  28/11750
NatomsRetained = 472   ||  NMapping = 29/50  ||  time = 3.3601 sec |||  29/11750
NatomsRetained = 472   ||  NMapping = 30/50  ||  time = 3.3719 sec |||  30/11750
NatomsRetained = 472   ||  NMapping = 31/50  ||  time = 3.4821 sec |||  31/11750
NatomsRetained = 472   ||  NMapping = 32/50  ||  time = 3.3103 sec |||  32/11750
NatomsRetained = 472   ||  NMapping = 33/50  ||  time = 3.3443 sec |||  33/11750
NatomsRetained = 472   ||  NMapping = 34/50  ||  time = 3.4599 sec |||  34/11750
NatomsRetained = 472   ||  NMapping = 35/50  ||  time = 3.4303 sec |||  35/11750
NatomsRetained = 472   ||  NMapping = 36/50  ||  time = 3.4187 sec |||  36/11750
NatomsRetained = 472   ||  NMapping = 37/50  ||  time = 3.3676 sec |||  37/11750
NatomsRetained = 472   ||  NMapping = 38/50  ||  time = 3.3693 sec |||  38/11750
NatomsRetained = 472   ||  NMapping = 39/50  ||  time = 3.2832 sec |||  39/11750
NatomsRetained = 472   ||  NMapping = 40/50  ||  time = 3.3419 sec |||  40/11750
NatomsRetained = 472   ||  NMapping = 41/50  ||  time = 3.3123 sec |||  41/11750
NatomsRetained = 472   ||  NMapping = 42/50  ||  time = 3.3825 sec |||  42/11750
NatomsRetained = 472   ||  NMapping = 43/50  ||  time = 3.4309 sec |||  43/11750
NatomsRetained = 472   ||  NMapping = 44/50  ||  time = 3.4686 sec |||  44/11750
NatomsRetained = 472   ||  NMapping = 45/50  ||  time = 3.2415 sec |||  45/11750
NatomsRetained = 472   ||  NMapping = 46/50  ||  time = 3.3855 sec |||  46/11750
NatomsRetained = 472   ||  NMapping = 47/50  ||  time = 3.3757 sec |||  47/11750
NatomsRetained = 472   ||  NMapping = 48/50  ||  time = 3.3224 sec |||  48/11750
NatomsRetained = 472   ||  NMapping = 49/50  ||  time = 3.3328 sec |||  49/11750
NatomsRetained = 472   ||  NMapping = 50/50  ||  time = 3.3130 sec |||  50/11750
NatomsRetained = 470   ||  NMapping = 1/50  ||  time = 3.2709 sec |||  51/11750
NatomsRetained = 470   ||  NMapping = 2/50  ||  time = 3.3736 sec |||  52/11750
NatomsRetained = 470   ||  NMapping = 3/50  ||  time = 3.3165 sec |||  53/11750
