NatomsRetained = 1089   ||  NMapping = 1/50  ||  time = 5.2377 sec |||  1/10900
NatomsRetained = 1089   ||  NMapping = 2/50  ||  time = 5.3867 sec |||  2/10900
NatomsRetained = 1089   ||  NMapping = 3/50  ||  time = 5.2477 sec |||  3/10900
NatomsRetained = 1089   ||  NMapping = 4/50  ||  time = 5.1856 sec |||  4/10900
NatomsRetained = 1089   ||  NMapping = 5/50  ||  time = 5.3760 sec |||  5/10900
NatomsRetained = 1089   ||  NMapping = 6/50  ||  time = 5.0786 sec |||  6/10900
NatomsRetained = 1089   ||  NMapping = 7/50  ||  time = 5.1704 sec |||  7/10900
NatomsRetained = 1089   ||  NMapping = 8/50  ||  time = 5.1240 sec |||  8/10900
NatomsRetained = 1089   ||  NMapping = 9/50  ||  time = 5.1649 sec |||  9/10900
NatomsRetained = 1089   ||  NMapping = 10/50  ||  time = 5.1365 sec |||  10/10900
NatomsRetained = 1089   ||  NMapping = 11/50  ||  time = 5.4368 sec |||  11/10900
NatomsRetained = 1089   ||  NMapping = 12/50  ||  time = 5.3912 sec |||  12/10900
NatomsRetained = 1089   ||  NMapping = 13/50  ||  time = 5.4249 sec |||  13/10900
NatomsRetained = 1089   ||  NMapping = 14/50  ||  time = 5.5289 sec |||  14/10900
NatomsRetained = 1089   ||  NMapping = 15/50  ||  time = 5.5060 sec |||  15/10900
NatomsRetained = 1089   ||  NMapping = 16/50  ||  time = 5.4985 sec |||  16/10900
NatomsRetained = 1089   ||  NMapping = 17/50  ||  time = 5.5075 sec |||  17/10900
NatomsRetained = 1089   ||  NMapping = 18/50  ||  time = 5.6056 sec |||  18/10900
NatomsRetained = 1089   ||  NMapping = 19/50  ||  time = 5.5205 sec |||  19/10900
NatomsRetained = 1089   ||  NMapping = 20/50  ||  time = 5.6628 sec |||  20/10900
NatomsRetained = 1089   ||  NMapping = 21/50  ||  time = 5.4916 sec |||  21/10900
NatomsRetained = 1089   ||  NMapping = 22/50  ||  time = 5.6214 sec |||  22/10900
NatomsRetained = 1089   ||  NMapping = 23/50  ||  time = 5.5558 sec |||  23/10900
NatomsRetained = 1089   ||  NMapping = 24/50  ||  time = 5.6327 sec |||  24/10900
NatomsRetained = 1089   ||  NMapping = 25/50  ||  time = 5.6065 sec |||  25/10900
NatomsRetained = 1089   ||  NMapping = 26/50  ||  time = 5.7317 sec |||  26/10900
NatomsRetained = 1089   ||  NMapping = 27/50  ||  time = 5.5780 sec |||  27/10900
NatomsRetained = 1089   ||  NMapping = 28/50  ||  time = 5.7136 sec |||  28/10900
NatomsRetained = 1089   ||  NMapping = 29/50  ||  time = 5.6064 sec |||  29/10900
NatomsRetained = 1089   ||  NMapping = 30/50  ||  time = 5.5616 sec |||  30/10900
NatomsRetained = 1089   ||  NMapping = 31/50  ||  time = 5.5568 sec |||  31/10900
NatomsRetained = 1089   ||  NMapping = 32/50  ||  time = 5.5232 sec |||  32/10900
NatomsRetained = 1089   ||  NMapping = 33/50  ||  time = 5.5905 sec |||  33/10900
NatomsRetained = 1089   ||  NMapping = 34/50  ||  time = 5.3850 sec |||  34/10900
NatomsRetained = 1089   ||  NMapping = 35/50  ||  time = 5.5606 sec |||  35/10900
NatomsRetained = 1089   ||  NMapping = 36/50  ||  time = 5.7708 sec |||  36/10900
NatomsRetained = 1089   ||  NMapping = 37/50  ||  time = 5.6307 sec |||  37/10900
NatomsRetained = 1089   ||  NMapping = 38/50  ||  time = 5.6225 sec |||  38/10900
NatomsRetained = 1089   ||  NMapping = 39/50  ||  time = 5.4107 sec |||  39/10900
NatomsRetained = 1089   ||  NMapping = 40/50  ||  time = 5.6197 sec |||  40/10900
NatomsRetained = 1089   ||  NMapping = 41/50  ||  time = 5.5360 sec |||  41/10900
NatomsRetained = 1089   ||  NMapping = 42/50  ||  time = 5.5361 sec |||  42/10900
NatomsRetained = 1089   ||  NMapping = 43/50  ||  time = 5.5370 sec |||  43/10900
NatomsRetained = 1089   ||  NMapping = 44/50  ||  time = 5.6321 sec |||  44/10900
NatomsRetained = 1089   ||  NMapping = 45/50  ||  time = 5.4776 sec |||  45/10900
NatomsRetained = 1089   ||  NMapping = 46/50  ||  time = 5.5181 sec |||  46/10900
NatomsRetained = 1089   ||  NMapping = 47/50  ||  time = 5.5320 sec |||  47/10900
NatomsRetained = 1089   ||  NMapping = 48/50  ||  time = 5.5490 sec |||  48/10900
NatomsRetained = 1089   ||  NMapping = 49/50  ||  time = 5.4272 sec |||  49/10900
NatomsRetained = 1089   ||  NMapping = 50/50  ||  time = 5.4271 sec |||  50/10900
NatomsRetained = 1084   ||  NMapping = 1/50  ||  time = 5.5147 sec |||  51/10900
NatomsRetained = 1084   ||  NMapping = 2/50  ||  time = 5.6892 sec |||  52/10900
NatomsRetained = 1084   ||  NMapping = 3/50  ||  time = 5.4077 sec |||  53/10900
NatomsRetained = 1084   ||  NMapping = 4/50  ||  time = 5.2889 sec |||  54/10900
NatomsRetained = 1084   ||  NMapping = 5/50  ||  time = 5.2725 sec |||  55/10900
NatomsRetained = 1084   ||  NMapping = 6/50  ||  time = 5.6024 sec |||  56/10900
NatomsRetained = 1084   ||  NMapping = 7/50  ||  time = 5.5357 sec |||  57/10900
NatomsRetained = 1084   ||  NMapping = 8/50  ||  time = 5.5448 sec |||  58/10900
NatomsRetained = 1084   ||  NMapping = 9/50  ||  time = 5.5536 sec |||  59/10900
NatomsRetained = 1084   ||  NMapping = 10/50  ||  time = 5.5846 sec |||  60/10900
NatomsRetained = 1084   ||  NMapping = 11/50  ||  time = 5.5545 sec |||  61/10900
NatomsRetained = 1084   ||  NMapping = 12/50  ||  time = 5.4225 sec |||  62/10900
NatomsRetained = 1084   ||  NMapping = 13/50  ||  time = 5.3981 sec |||  63/10900
NatomsRetained = 1084   ||  NMapping = 14/50  ||  time = 5.6169 sec |||  64/10900
NatomsRetained = 1084   ||  NMapping = 15/50  ||  time = 5.4132 sec |||  65/10900
NatomsRetained = 1084   ||  NMapping = 16/50  ||  time = 5.4232 sec |||  66/10900
NatomsRetained = 1084   ||  NMapping = 17/50  ||  time = 5.4638 sec |||  67/10900
NatomsRetained = 1084   ||  NMapping = 18/50  ||  time = 5.5918 sec |||  68/10900
NatomsRetained = 1084   ||  NMapping = 19/50  ||  time = 5.5718 sec |||  69/10900
NatomsRetained = 1084   ||  NMapping = 20/50  ||  time = 5.5825 sec |||  70/10900
NatomsRetained = 1084   ||  NMapping = 21/50  ||  time = 5.5170 sec |||  71/10900
NatomsRetained = 1084   ||  NMapping = 22/50  ||  time = 5.5844 sec |||  72/10900
NatomsRetained = 1084   ||  NMapping = 23/50  ||  time = 5.4200 sec |||  73/10900
NatomsRetained = 1084   ||  NMapping = 24/50  ||  time = 5.5252 sec |||  74/10900
NatomsRetained = 1084   ||  NMapping = 25/50  ||  time = 5.6093 sec |||  75/10900
NatomsRetained = 1084   ||  NMapping = 26/50  ||  time = 5.6950 sec |||  76/10900
NatomsRetained = 1084   ||  NMapping = 27/50  ||  time = 5.4425 sec |||  77/10900
NatomsRetained = 1084   ||  NMapping = 28/50  ||  time = 5.6436 sec |||  78/10900
NatomsRetained = 1084   ||  NMapping = 29/50  ||  time = 5.4376 sec |||  79/10900
NatomsRetained = 1084   ||  NMapping = 30/50  ||  time = 5.5347 sec |||  80/10900
NatomsRetained = 1084   ||  NMapping = 31/50  ||  time = 5.6093 sec |||  81/10900
NatomsRetained = 1084   ||  NMapping = 32/50  ||  time = 5.5602 sec |||  82/10900
NatomsRetained = 1084   ||  NMapping = 33/50  ||  time = 5.4421 sec |||  83/10900
NatomsRetained = 1084   ||  NMapping = 34/50  ||  time = 5.4619 sec |||  84/10900
NatomsRetained = 1084   ||  NMapping = 35/50  ||  time = 5.5578 sec |||  85/10900
NatomsRetained = 1084   ||  NMapping = 36/50  ||  time = 5.5023 sec |||  86/10900
NatomsRetained = 1084   ||  NMapping = 37/50  ||  time = 5.5456 sec |||  87/10900
NatomsRetained = 1084   ||  NMapping = 38/50  ||  time = 5.5072 sec |||  88/10900
NatomsRetained = 1084   ||  NMapping = 39/50  ||  time = 5.4861 sec |||  89/10900
NatomsRetained = 1084   ||  NMapping = 40/50  ||  time = 5.4965 sec |||  90/10900
NatomsRetained = 1084   ||  NMapping = 41/50  ||  time = 5.4659 sec |||  91/10900
NatomsRetained = 1084   ||  NMapping = 42/50  ||  time = 5.4703 sec |||  92/10900
NatomsRetained = 1084   ||  NMapping = 43/50  ||  time = 5.4147 sec |||  93/10900
NatomsRetained = 1084   ||  NMapping = 44/50  ||  time = 5.4755 sec |||  94/10900
NatomsRetained = 1084   ||  NMapping = 45/50  ||  time = 5.4239 sec |||  95/10900
NatomsRetained = 1084   ||  NMapping = 46/50  ||  time = 5.4902 sec |||  96/10900
NatomsRetained = 1084   ||  NMapping = 47/50  ||  time = 5.4506 sec |||  97/10900
NatomsRetained = 1084   ||  NMapping = 48/50  ||  time = 5.4395 sec |||  98/10900
NatomsRetained = 1084   ||  NMapping = 49/50  ||  time = 5.3922 sec |||  99/10900
NatomsRetained = 1084   ||  NMapping = 50/50  ||  time = 5.6807 sec |||  100/10900
NatomsRetained = 1079   ||  NMapping = 1/50  ||  time = 5.3901 sec |||  101/10900
NatomsRetained = 1079   ||  NMapping = 2/50  ||  time = 5.4743 sec |||  102/10900
NatomsRetained = 1079   ||  NMapping = 3/50  ||  time = 5.5209 sec |||  103/10900
NatomsRetained = 1079   ||  NMapping = 4/50  ||  time = 5.4161 sec |||  104/10900
NatomsRetained = 1079   ||  NMapping = 5/50  ||  time = 5.5395 sec |||  105/10900
NatomsRetained = 1079   ||  NMapping = 6/50  ||  time = 5.4007 sec |||  106/10900
NatomsRetained = 1079   ||  NMapping = 7/50  ||  time = 5.3985 sec |||  107/10900
NatomsRetained = 1079   ||  NMapping = 8/50  ||  time = 5.4926 sec |||  108/10900
NatomsRetained = 1079   ||  NMapping = 9/50  ||  time = 5.5801 sec |||  109/10900
NatomsRetained = 1079   ||  NMapping = 10/50  ||  time = 5.3849 sec |||  110/10900
