NatomsRetained = 1089   ||  NMapping = 1/50  ||  time = 5.0694 sec |||  1/10900
NatomsRetained = 1089   ||  NMapping = 2/50  ||  time = 5.3178 sec |||  2/10900
NatomsRetained = 1089   ||  NMapping = 3/50  ||  time = 5.4122 sec |||  3/10900
NatomsRetained = 1089   ||  NMapping = 4/50  ||  time = 5.1814 sec |||  4/10900
NatomsRetained = 1089   ||  NMapping = 5/50  ||  time = 5.2714 sec |||  5/10900
NatomsRetained = 1089   ||  NMapping = 6/50  ||  time = 5.1832 sec |||  6/10900
NatomsRetained = 1089   ||  NMapping = 7/50  ||  time = 5.5424 sec |||  7/10900
NatomsRetained = 1089   ||  NMapping = 8/50  ||  time = 5.2955 sec |||  8/10900
NatomsRetained = 1089   ||  NMapping = 9/50  ||  time = 5.3730 sec |||  9/10900
NatomsRetained = 1089   ||  NMapping = 10/50  ||  time = 5.2814 sec |||  10/10900
NatomsRetained = 1089   ||  NMapping = 11/50  ||  time = 5.2727 sec |||  11/10900
NatomsRetained = 1089   ||  NMapping = 12/50  ||  time = 5.2055 sec |||  12/10900
NatomsRetained = 1089   ||  NMapping = 13/50  ||  time = 5.3484 sec |||  13/10900
NatomsRetained = 1089   ||  NMapping = 14/50  ||  time = 5.2012 sec |||  14/10900
NatomsRetained = 1089   ||  NMapping = 15/50  ||  time = 5.4418 sec |||  15/10900
NatomsRetained = 1089   ||  NMapping = 16/50  ||  time = 5.3079 sec |||  16/10900
NatomsRetained = 1089   ||  NMapping = 17/50  ||  time = 5.4368 sec |||  17/10900
NatomsRetained = 1089   ||  NMapping = 18/50  ||  time = 5.1494 sec |||  18/10900
NatomsRetained = 1089   ||  NMapping = 19/50  ||  time = 5.4038 sec |||  19/10900
NatomsRetained = 1089   ||  NMapping = 20/50  ||  time = 5.3739 sec |||  20/10900
NatomsRetained = 1089   ||  NMapping = 21/50  ||  time = 5.2832 sec |||  21/10900
NatomsRetained = 1089   ||  NMapping = 22/50  ||  time = 5.2652 sec |||  22/10900
NatomsRetained = 1089   ||  NMapping = 23/50  ||  time = 5.3418 sec |||  23/10900
NatomsRetained = 1089   ||  NMapping = 24/50  ||  time = 5.3442 sec |||  24/10900
NatomsRetained = 1089   ||  NMapping = 25/50  ||  time = 5.1831 sec |||  25/10900
NatomsRetained = 1089   ||  NMapping = 26/50  ||  time = 5.3701 sec |||  26/10900
NatomsRetained = 1089   ||  NMapping = 27/50  ||  time = 5.2329 sec |||  27/10900
NatomsRetained = 1089   ||  NMapping = 28/50  ||  time = 5.1583 sec |||  28/10900
NatomsRetained = 1089   ||  NMapping = 29/50  ||  time = 5.2103 sec |||  29/10900
NatomsRetained = 1089   ||  NMapping = 30/50  ||  time = 5.4536 sec |||  30/10900
NatomsRetained = 1089   ||  NMapping = 31/50  ||  time = 5.1492 sec |||  31/10900
NatomsRetained = 1089   ||  NMapping = 32/50  ||  time = 5.2136 sec |||  32/10900
NatomsRetained = 1089   ||  NMapping = 33/50  ||  time = 5.4874 sec |||  33/10900
NatomsRetained = 1089   ||  NMapping = 34/50  ||  time = 5.4162 sec |||  34/10900
NatomsRetained = 1089   ||  NMapping = 35/50  ||  time = 5.1663 sec |||  35/10900
NatomsRetained = 1089   ||  NMapping = 36/50  ||  time = 5.2854 sec |||  36/10900
NatomsRetained = 1089   ||  NMapping = 37/50  ||  time = 5.2811 sec |||  37/10900
NatomsRetained = 1089   ||  NMapping = 38/50  ||  time = 5.1987 sec |||  38/10900
NatomsRetained = 1089   ||  NMapping = 39/50  ||  time = 5.1514 sec |||  39/10900
NatomsRetained = 1089   ||  NMapping = 40/50  ||  time = 5.5144 sec |||  40/10900
NatomsRetained = 1089   ||  NMapping = 41/50  ||  time = 5.4394 sec |||  41/10900
NatomsRetained = 1089   ||  NMapping = 42/50  ||  time = 5.3177 sec |||  42/10900
NatomsRetained = 1089   ||  NMapping = 43/50  ||  time = 5.2689 sec |||  43/10900
NatomsRetained = 1089   ||  NMapping = 44/50  ||  time = 5.1192 sec |||  44/10900
NatomsRetained = 1089   ||  NMapping = 45/50  ||  time = 5.3625 sec |||  45/10900
NatomsRetained = 1089   ||  NMapping = 46/50  ||  time = 5.2187 sec |||  46/10900
NatomsRetained = 1089   ||  NMapping = 47/50  ||  time = 5.2698 sec |||  47/10900
NatomsRetained = 1089   ||  NMapping = 48/50  ||  time = 5.1867 sec |||  48/10900
NatomsRetained = 1089   ||  NMapping = 49/50  ||  time = 5.4199 sec |||  49/10900
NatomsRetained = 1089   ||  NMapping = 50/50  ||  time = 5.2870 sec |||  50/10900
NatomsRetained = 1084   ||  NMapping = 1/50  ||  time = 5.1100 sec |||  51/10900
NatomsRetained = 1084   ||  NMapping = 2/50  ||  time = 5.2943 sec |||  52/10900
NatomsRetained = 1084   ||  NMapping = 3/50  ||  time = 5.3232 sec |||  53/10900
NatomsRetained = 1084   ||  NMapping = 4/50  ||  time = 5.1687 sec |||  54/10900
NatomsRetained = 1084   ||  NMapping = 5/50  ||  time = 5.2545 sec |||  55/10900
NatomsRetained = 1084   ||  NMapping = 6/50  ||  time = 5.3161 sec |||  56/10900
NatomsRetained = 1084   ||  NMapping = 7/50  ||  time = 5.4356 sec |||  57/10900
NatomsRetained = 1084   ||  NMapping = 8/50  ||  time = 5.1171 sec |||  58/10900
NatomsRetained = 1084   ||  NMapping = 9/50  ||  time = 5.4811 sec |||  59/10900
NatomsRetained = 1084   ||  NMapping = 10/50  ||  time = 5.2821 sec |||  60/10900
NatomsRetained = 1084   ||  NMapping = 11/50  ||  time = 5.4585 sec |||  61/10900
NatomsRetained = 1084   ||  NMapping = 12/50  ||  time = 5.2448 sec |||  62/10900
NatomsRetained = 1084   ||  NMapping = 13/50  ||  time = 5.2773 sec |||  63/10900
NatomsRetained = 1084   ||  NMapping = 14/50  ||  time = 5.1542 sec |||  64/10900
NatomsRetained = 1084   ||  NMapping = 15/50  ||  time = 5.2687 sec |||  65/10900
NatomsRetained = 1084   ||  NMapping = 16/50  ||  time = 5.1476 sec |||  66/10900
