NatomsRetained = 956   ||  NMapping = 1/50  ||  time = 4.4862 sec |||  1/11950
NatomsRetained = 956   ||  NMapping = 2/50  ||  time = 4.5245 sec |||  2/11950
NatomsRetained = 956   ||  NMapping = 3/50  ||  time = 4.4271 sec |||  3/11950
NatomsRetained = 956   ||  NMapping = 4/50  ||  time = 4.7293 sec |||  4/11950
NatomsRetained = 956   ||  NMapping = 5/50  ||  time = 4.5614 sec |||  5/11950
NatomsRetained = 956   ||  NMapping = 6/50  ||  time = 4.4970 sec |||  6/11950
NatomsRetained = 956   ||  NMapping = 7/50  ||  time = 4.4358 sec |||  7/11950
NatomsRetained = 956   ||  NMapping = 8/50  ||  time = 4.5895 sec |||  8/11950
NatomsRetained = 956   ||  NMapping = 9/50  ||  time = 4.5962 sec |||  9/11950
NatomsRetained = 956   ||  NMapping = 10/50  ||  time = 4.4536 sec |||  10/11950
NatomsRetained = 956   ||  NMapping = 11/50  ||  time = 4.4734 sec |||  11/11950
NatomsRetained = 956   ||  NMapping = 12/50  ||  time = 4.5955 sec |||  12/11950
NatomsRetained = 956   ||  NMapping = 13/50  ||  time = 4.7576 sec |||  13/11950
NatomsRetained = 956   ||  NMapping = 14/50  ||  time = 4.7184 sec |||  14/11950
NatomsRetained = 956   ||  NMapping = 15/50  ||  time = 4.7130 sec |||  15/11950
NatomsRetained = 956   ||  NMapping = 16/50  ||  time = 4.7596 sec |||  16/11950
NatomsRetained = 956   ||  NMapping = 17/50  ||  time = 4.7340 sec |||  17/11950
NatomsRetained = 956   ||  NMapping = 18/50  ||  time = 4.8957 sec |||  18/11950
NatomsRetained = 956   ||  NMapping = 19/50  ||  time = 4.8602 sec |||  19/11950
NatomsRetained = 956   ||  NMapping = 20/50  ||  time = 4.8138 sec |||  20/11950
NatomsRetained = 956   ||  NMapping = 21/50  ||  time = 4.8765 sec |||  21/11950
NatomsRetained = 956   ||  NMapping = 22/50  ||  time = 4.8143 sec |||  22/11950
NatomsRetained = 956   ||  NMapping = 23/50  ||  time = 4.8868 sec |||  23/11950
NatomsRetained = 956   ||  NMapping = 24/50  ||  time = 4.7444 sec |||  24/11950
NatomsRetained = 956   ||  NMapping = 25/50  ||  time = 5.0119 sec |||  25/11950
NatomsRetained = 956   ||  NMapping = 26/50  ||  time = 5.0782 sec |||  26/11950
NatomsRetained = 956   ||  NMapping = 27/50  ||  time = 5.1192 sec |||  27/11950
NatomsRetained = 956   ||  NMapping = 28/50  ||  time = 5.0218 sec |||  28/11950
NatomsRetained = 956   ||  NMapping = 29/50  ||  time = 5.1312 sec |||  29/11950
NatomsRetained = 956   ||  NMapping = 30/50  ||  time = 5.0529 sec |||  30/11950
NatomsRetained = 956   ||  NMapping = 31/50  ||  time = 5.0392 sec |||  31/11950
NatomsRetained = 956   ||  NMapping = 32/50  ||  time = 5.0778 sec |||  32/11950
NatomsRetained = 956   ||  NMapping = 33/50  ||  time = 4.8845 sec |||  33/11950
NatomsRetained = 956   ||  NMapping = 34/50  ||  time = 5.0569 sec |||  34/11950
NatomsRetained = 956   ||  NMapping = 35/50  ||  time = 5.0382 sec |||  35/11950
NatomsRetained = 956   ||  NMapping = 36/50  ||  time = 5.1059 sec |||  36/11950
NatomsRetained = 956   ||  NMapping = 37/50  ||  time = 4.9754 sec |||  37/11950
NatomsRetained = 956   ||  NMapping = 38/50  ||  time = 5.1285 sec |||  38/11950
NatomsRetained = 956   ||  NMapping = 39/50  ||  time = 5.2442 sec |||  39/11950
