NatomsRetained = 956   ||  NMapping = 1/50  ||  time = 4.5864 sec |||  1/11950
NatomsRetained = 956   ||  NMapping = 2/50  ||  time = 4.5621 sec |||  2/11950
NatomsRetained = 956   ||  NMapping = 3/50  ||  time = 4.5511 sec |||  3/11950
NatomsRetained = 956   ||  NMapping = 4/50  ||  time = 4.4751 sec |||  4/11950
NatomsRetained = 956   ||  NMapping = 5/50  ||  time = 4.6196 sec |||  5/11950
NatomsRetained = 956   ||  NMapping = 6/50  ||  time = 4.5347 sec |||  6/11950
NatomsRetained = 956   ||  NMapping = 7/50  ||  time = 4.7562 sec |||  7/11950
NatomsRetained = 956   ||  NMapping = 8/50  ||  time = 4.6416 sec |||  8/11950
NatomsRetained = 956   ||  NMapping = 9/50  ||  time = 4.4388 sec |||  9/11950
NatomsRetained = 956   ||  NMapping = 10/50  ||  time = 4.3793 sec |||  10/11950
NatomsRetained = 956   ||  NMapping = 11/50  ||  time = 4.3225 sec |||  11/11950
NatomsRetained = 956   ||  NMapping = 12/50  ||  time = 4.4775 sec |||  12/11950
NatomsRetained = 956   ||  NMapping = 13/50  ||  time = 4.5008 sec |||  13/11950
NatomsRetained = 956   ||  NMapping = 14/50  ||  time = 4.4612 sec |||  14/11950
NatomsRetained = 956   ||  NMapping = 15/50  ||  time = 4.5047 sec |||  15/11950
NatomsRetained = 956   ||  NMapping = 16/50  ||  time = 4.5567 sec |||  16/11950
NatomsRetained = 956   ||  NMapping = 17/50  ||  time = 4.5791 sec |||  17/11950
NatomsRetained = 956   ||  NMapping = 18/50  ||  time = 4.6311 sec |||  18/11950
NatomsRetained = 956   ||  NMapping = 19/50  ||  time = 4.5102 sec |||  19/11950
NatomsRetained = 956   ||  NMapping = 20/50  ||  time = 4.5057 sec |||  20/11950
NatomsRetained = 956   ||  NMapping = 21/50  ||  time = 4.3303 sec |||  21/11950
NatomsRetained = 956   ||  NMapping = 22/50  ||  time = 4.4583 sec |||  22/11950
NatomsRetained = 956   ||  NMapping = 23/50  ||  time = 4.5467 sec |||  23/11950
NatomsRetained = 956   ||  NMapping = 24/50  ||  time = 4.5103 sec |||  24/11950
NatomsRetained = 956   ||  NMapping = 25/50  ||  time = 4.5421 sec |||  25/11950
NatomsRetained = 956   ||  NMapping = 26/50  ||  time = 4.5995 sec |||  26/11950
NatomsRetained = 956   ||  NMapping = 27/50  ||  time = 4.8845 sec |||  27/11950
NatomsRetained = 956   ||  NMapping = 28/50  ||  time = 4.8235 sec |||  28/11950
NatomsRetained = 956   ||  NMapping = 29/50  ||  time = 4.8905 sec |||  29/11950
NatomsRetained = 956   ||  NMapping = 30/50  ||  time = 4.9971 sec |||  30/11950
NatomsRetained = 956   ||  NMapping = 31/50  ||  time = 4.9444 sec |||  31/11950
NatomsRetained = 956   ||  NMapping = 32/50  ||  time = 4.7827 sec |||  32/11950
NatomsRetained = 956   ||  NMapping = 33/50  ||  time = 4.7596 sec |||  33/11950
NatomsRetained = 956   ||  NMapping = 34/50  ||  time = 4.7826 sec |||  34/11950
NatomsRetained = 956   ||  NMapping = 35/50  ||  time = 4.8723 sec |||  35/11950
NatomsRetained = 956   ||  NMapping = 36/50  ||  time = 4.9126 sec |||  36/11950
NatomsRetained = 956   ||  NMapping = 37/50  ||  time = 4.8963 sec |||  37/11950
NatomsRetained = 956   ||  NMapping = 38/50  ||  time = 4.9570 sec |||  38/11950
NatomsRetained = 956   ||  NMapping = 39/50  ||  time = 5.0572 sec |||  39/11950
NatomsRetained = 956   ||  NMapping = 40/50  ||  time = 4.9489 sec |||  40/11950
NatomsRetained = 956   ||  NMapping = 41/50  ||  time = 4.8495 sec |||  41/11950
NatomsRetained = 956   ||  NMapping = 42/50  ||  time = 4.7712 sec |||  42/11950
NatomsRetained = 956   ||  NMapping = 43/50  ||  time = 4.9981 sec |||  43/11950
NatomsRetained = 956   ||  NMapping = 44/50  ||  time = 4.7859 sec |||  44/11950
NatomsRetained = 956   ||  NMapping = 45/50  ||  time = 4.7028 sec |||  45/11950
NatomsRetained = 956   ||  NMapping = 46/50  ||  time = 4.6880 sec |||  46/11950
NatomsRetained = 956   ||  NMapping = 47/50  ||  time = 4.7966 sec |||  47/11950
NatomsRetained = 956   ||  NMapping = 48/50  ||  time = 4.7063 sec |||  48/11950
NatomsRetained = 956   ||  NMapping = 49/50  ||  time = 4.7912 sec |||  49/11950
NatomsRetained = 956   ||  NMapping = 50/50  ||  time = 4.7929 sec |||  50/11950
NatomsRetained = 952   ||  NMapping = 1/50  ||  time = 4.8731 sec |||  51/11950
NatomsRetained = 952   ||  NMapping = 2/50  ||  time = 4.8648 sec |||  52/11950
NatomsRetained = 952   ||  NMapping = 3/50  ||  time = 4.8983 sec |||  53/11950
NatomsRetained = 952   ||  NMapping = 4/50  ||  time = 4.9351 sec |||  54/11950
NatomsRetained = 952   ||  NMapping = 5/50  ||  time = 4.8095 sec |||  55/11950
NatomsRetained = 952   ||  NMapping = 6/50  ||  time = 4.7365 sec |||  56/11950
NatomsRetained = 952   ||  NMapping = 7/50  ||  time = 4.9186 sec |||  57/11950
NatomsRetained = 952   ||  NMapping = 8/50  ||  time = 4.7561 sec |||  58/11950
NatomsRetained = 952   ||  NMapping = 9/50  ||  time = 4.7220 sec |||  59/11950
NatomsRetained = 952   ||  NMapping = 10/50  ||  time = 4.7280 sec |||  60/11950
NatomsRetained = 952   ||  NMapping = 11/50  ||  time = 4.7391 sec |||  61/11950
NatomsRetained = 952   ||  NMapping = 12/50  ||  time = 4.8106 sec |||  62/11950
NatomsRetained = 952   ||  NMapping = 13/50  ||  time = 4.8915 sec |||  63/11950
NatomsRetained = 952   ||  NMapping = 14/50  ||  time = 4.8573 sec |||  64/11950
NatomsRetained = 952   ||  NMapping = 15/50  ||  time = 4.8670 sec |||  65/11950
NatomsRetained = 952   ||  NMapping = 16/50  ||  time = 4.5901 sec |||  66/11950
NatomsRetained = 952   ||  NMapping = 17/50  ||  time = 4.7927 sec |||  67/11950
NatomsRetained = 952   ||  NMapping = 18/50  ||  time = 4.6994 sec |||  68/11950
NatomsRetained = 952   ||  NMapping = 19/50  ||  time = 4.8503 sec |||  69/11950
NatomsRetained = 952   ||  NMapping = 20/50  ||  time = 4.7121 sec |||  70/11950
NatomsRetained = 952   ||  NMapping = 21/50  ||  time = 4.6737 sec |||  71/11950
NatomsRetained = 952   ||  NMapping = 22/50  ||  time = 4.7950 sec |||  72/11950
NatomsRetained = 952   ||  NMapping = 23/50  ||  time = 5.0381 sec |||  73/11950
NatomsRetained = 952   ||  NMapping = 24/50  ||  time = 4.7510 sec |||  74/11950
NatomsRetained = 952   ||  NMapping = 25/50  ||  time = 5.0058 sec |||  75/11950
NatomsRetained = 952   ||  NMapping = 26/50  ||  time = 4.9721 sec |||  76/11950
NatomsRetained = 952   ||  NMapping = 27/50  ||  time = 4.9687 sec |||  77/11950
NatomsRetained = 952   ||  NMapping = 28/50  ||  time = 4.8744 sec |||  78/11950
NatomsRetained = 952   ||  NMapping = 29/50  ||  time = 4.9543 sec |||  79/11950
NatomsRetained = 952   ||  NMapping = 30/50  ||  time = 4.6758 sec |||  80/11950
NatomsRetained = 952   ||  NMapping = 31/50  ||  time = 4.8261 sec |||  81/11950
NatomsRetained = 952   ||  NMapping = 32/50  ||  time = 4.9782 sec |||  82/11950
NatomsRetained = 952   ||  NMapping = 33/50  ||  time = 4.7731 sec |||  83/11950
NatomsRetained = 952   ||  NMapping = 34/50  ||  time = 4.8636 sec |||  84/11950
NatomsRetained = 952   ||  NMapping = 35/50  ||  time = 4.6906 sec |||  85/11950
NatomsRetained = 952   ||  NMapping = 36/50  ||  time = 4.7839 sec |||  86/11950
NatomsRetained = 952   ||  NMapping = 37/50  ||  time = 4.8673 sec |||  87/11950
NatomsRetained = 952   ||  NMapping = 38/50  ||  time = 4.7976 sec |||  88/11950
NatomsRetained = 952   ||  NMapping = 39/50  ||  time = 4.8312 sec |||  89/11950
NatomsRetained = 952   ||  NMapping = 40/50  ||  time = 4.5586 sec |||  90/11950
NatomsRetained = 952   ||  NMapping = 41/50  ||  time = 4.8278 sec |||  91/11950
NatomsRetained = 952   ||  NMapping = 42/50  ||  time = 4.8017 sec |||  92/11950
NatomsRetained = 952   ||  NMapping = 43/50  ||  time = 4.9834 sec |||  93/11950
