NatomsRetained = 4653   ||  NMapping = 1/50  ||  time = 16.3855 sec |||  1/10150
NatomsRetained = 4653   ||  NMapping = 2/50  ||  time = 16.3660 sec |||  2/10150
NatomsRetained = 4653   ||  NMapping = 3/50  ||  time = 15.8451 sec |||  3/10150
NatomsRetained = 4653   ||  NMapping = 4/50  ||  time = 16.1655 sec |||  4/10150
NatomsRetained = 4653   ||  NMapping = 5/50  ||  time = 16.4078 sec |||  5/10150
NatomsRetained = 4653   ||  NMapping = 6/50  ||  time = 15.7622 sec |||  6/10150
NatomsRetained = 4653   ||  NMapping = 7/50  ||  time = 15.8473 sec |||  7/10150
NatomsRetained = 4653   ||  NMapping = 8/50  ||  time = 15.9349 sec |||  8/10150
NatomsRetained = 4653   ||  NMapping = 9/50  ||  time = 16.0124 sec |||  9/10150
NatomsRetained = 4653   ||  NMapping = 10/50  ||  time = 15.8470 sec |||  10/10150
NatomsRetained = 4653   ||  NMapping = 11/50  ||  time = 16.0909 sec |||  11/10150
NatomsRetained = 4653   ||  NMapping = 12/50  ||  time = 15.9770 sec |||  12/10150
NatomsRetained = 4653   ||  NMapping = 13/50  ||  time = 16.2820 sec |||  13/10150
NatomsRetained = 4653   ||  NMapping = 14/50  ||  time = 15.7605 sec |||  14/10150
NatomsRetained = 4653   ||  NMapping = 15/50  ||  time = 16.5841 sec |||  15/10150
NatomsRetained = 4653   ||  NMapping = 16/50  ||  time = 16.0494 sec |||  16/10150
NatomsRetained = 4653   ||  NMapping = 17/50  ||  time = 16.0709 sec |||  17/10150
NatomsRetained = 4653   ||  NMapping = 18/50  ||  time = 16.0611 sec |||  18/10150
NatomsRetained = 4653   ||  NMapping = 19/50  ||  time = 15.8563 sec |||  19/10150
NatomsRetained = 4653   ||  NMapping = 20/50  ||  time = 15.9430 sec |||  20/10150
NatomsRetained = 4653   ||  NMapping = 21/50  ||  time = 16.1879 sec |||  21/10150
NatomsRetained = 4653   ||  NMapping = 22/50  ||  time = 16.1704 sec |||  22/10150
NatomsRetained = 4653   ||  NMapping = 23/50  ||  time = 16.0248 sec |||  23/10150
NatomsRetained = 4653   ||  NMapping = 24/50  ||  time = 16.3864 sec |||  24/10150
NatomsRetained = 4653   ||  NMapping = 25/50  ||  time = 16.3306 sec |||  25/10150
NatomsRetained = 4653   ||  NMapping = 26/50  ||  time = 16.2700 sec |||  26/10150
NatomsRetained = 4653   ||  NMapping = 27/50  ||  time = 15.8577 sec |||  27/10150
NatomsRetained = 4653   ||  NMapping = 28/50  ||  time = 16.0171 sec |||  28/10150
NatomsRetained = 4653   ||  NMapping = 29/50  ||  time = 15.6325 sec |||  29/10150
NatomsRetained = 4653   ||  NMapping = 30/50  ||  time = 16.2229 sec |||  30/10150
NatomsRetained = 4653   ||  NMapping = 31/50  ||  time = 16.0707 sec |||  31/10150
NatomsRetained = 4653   ||  NMapping = 32/50  ||  time = 16.0030 sec |||  32/10150
NatomsRetained = 4653   ||  NMapping = 33/50  ||  time = 16.1985 sec |||  33/10150
NatomsRetained = 4653   ||  NMapping = 34/50  ||  time = 16.2188 sec |||  34/10150
NatomsRetained = 4653   ||  NMapping = 35/50  ||  time = 16.0922 sec |||  35/10150
NatomsRetained = 4653   ||  NMapping = 36/50  ||  time = 16.0703 sec |||  36/10150
NatomsRetained = 4653   ||  NMapping = 37/50  ||  time = 16.3783 sec |||  37/10150
NatomsRetained = 4653   ||  NMapping = 38/50  ||  time = 16.1948 sec |||  38/10150
NatomsRetained = 4653   ||  NMapping = 39/50  ||  time = 16.2425 sec |||  39/10150
NatomsRetained = 4653   ||  NMapping = 40/50  ||  time = 16.2429 sec |||  40/10150
NatomsRetained = 4653   ||  NMapping = 41/50  ||  time = 16.2283 sec |||  41/10150
NatomsRetained = 4653   ||  NMapping = 42/50  ||  time = 15.9016 sec |||  42/10150
NatomsRetained = 4653   ||  NMapping = 43/50  ||  time = 16.2327 sec |||  43/10150
NatomsRetained = 4653   ||  NMapping = 44/50  ||  time = 15.8937 sec |||  44/10150
NatomsRetained = 4653   ||  NMapping = 45/50  ||  time = 15.9027 sec |||  45/10150
NatomsRetained = 4653   ||  NMapping = 46/50  ||  time = 15.9925 sec |||  46/10150
NatomsRetained = 4653   ||  NMapping = 47/50  ||  time = 16.1342 sec |||  47/10150
NatomsRetained = 4653   ||  NMapping = 48/50  ||  time = 16.2079 sec |||  48/10150
NatomsRetained = 4653   ||  NMapping = 49/50  ||  time = 16.4719 sec |||  49/10150
NatomsRetained = 4653   ||  NMapping = 50/50  ||  time = 16.1486 sec |||  50/10150
NatomsRetained = 4630   ||  NMapping = 1/50  ||  time = 16.0525 sec |||  51/10150
NatomsRetained = 4630   ||  NMapping = 2/50  ||  time = 15.8889 sec |||  52/10150
NatomsRetained = 4630   ||  NMapping = 3/50  ||  time = 15.6532 sec |||  53/10150
NatomsRetained = 4630   ||  NMapping = 4/50  ||  time = 15.7981 sec |||  54/10150
NatomsRetained = 4630   ||  NMapping = 5/50  ||  time = 15.8608 sec |||  55/10150
NatomsRetained = 4630   ||  NMapping = 6/50  ||  time = 15.7551 sec |||  56/10150
NatomsRetained = 4630   ||  NMapping = 7/50  ||  time = 16.1626 sec |||  57/10150
NatomsRetained = 4630   ||  NMapping = 8/50  ||  time = 15.7067 sec |||  58/10150
NatomsRetained = 4630   ||  NMapping = 9/50  ||  time = 15.8677 sec |||  59/10150
NatomsRetained = 4630   ||  NMapping = 10/50  ||  time = 15.8199 sec |||  60/10150
NatomsRetained = 4630   ||  NMapping = 11/50  ||  time = 15.8065 sec |||  61/10150
NatomsRetained = 4630   ||  NMapping = 12/50  ||  time = 16.1178 sec |||  62/10150
NatomsRetained = 4630   ||  NMapping = 13/50  ||  time = 15.6101 sec |||  63/10150
NatomsRetained = 4630   ||  NMapping = 14/50  ||  time = 15.9320 sec |||  64/10150
NatomsRetained = 4630   ||  NMapping = 15/50  ||  time = 16.2345 sec |||  65/10150
NatomsRetained = 4630   ||  NMapping = 16/50  ||  time = 15.9874 sec |||  66/10150
NatomsRetained = 4630   ||  NMapping = 17/50  ||  time = 15.4890 sec |||  67/10150
NatomsRetained = 4630   ||  NMapping = 18/50  ||  time = 15.8891 sec |||  68/10150
NatomsRetained = 4630   ||  NMapping = 19/50  ||  time = 16.0224 sec |||  69/10150
NatomsRetained = 4630   ||  NMapping = 20/50  ||  time = 15.9044 sec |||  70/10150
NatomsRetained = 4630   ||  NMapping = 21/50  ||  time = 15.9222 sec |||  71/10150
NatomsRetained = 4630   ||  NMapping = 22/50  ||  time = 15.8167 sec |||  72/10150
NatomsRetained = 4630   ||  NMapping = 23/50  ||  time = 16.2040 sec |||  73/10150
NatomsRetained = 4630   ||  NMapping = 24/50  ||  time = 15.9525 sec |||  74/10150
NatomsRetained = 4630   ||  NMapping = 25/50  ||  time = 16.0988 sec |||  75/10150
NatomsRetained = 4630   ||  NMapping = 26/50  ||  time = 15.9600 sec |||  76/10150
NatomsRetained = 4630   ||  NMapping = 27/50  ||  time = 15.8551 sec |||  77/10150
NatomsRetained = 4630   ||  NMapping = 28/50  ||  time = 16.1473 sec |||  78/10150
NatomsRetained = 4630   ||  NMapping = 29/50  ||  time = 16.0313 sec |||  79/10150
NatomsRetained = 4630   ||  NMapping = 30/50  ||  time = 15.7118 sec |||  80/10150
NatomsRetained = 4630   ||  NMapping = 31/50  ||  time = 15.9330 sec |||  81/10150
NatomsRetained = 4630   ||  NMapping = 32/50  ||  time = 15.7793 sec |||  82/10150
NatomsRetained = 4630   ||  NMapping = 33/50  ||  time = 16.0471 sec |||  83/10150
NatomsRetained = 4630   ||  NMapping = 34/50  ||  time = 15.6591 sec |||  84/10150
NatomsRetained = 4630   ||  NMapping = 35/50  ||  time = 15.5414 sec |||  85/10150
NatomsRetained = 4630   ||  NMapping = 36/50  ||  time = 15.9507 sec |||  86/10150
NatomsRetained = 4630   ||  NMapping = 37/50  ||  time = 16.2449 sec |||  87/10150
NatomsRetained = 4630   ||  NMapping = 38/50  ||  time = 15.9709 sec |||  88/10150
NatomsRetained = 4630   ||  NMapping = 39/50  ||  time = 15.8339 sec |||  89/10150
NatomsRetained = 4630   ||  NMapping = 40/50  ||  time = 15.8470 sec |||  90/10150
NatomsRetained = 4630   ||  NMapping = 41/50  ||  time = 16.1561 sec |||  91/10150
NatomsRetained = 4630   ||  NMapping = 42/50  ||  time = 15.9883 sec |||  92/10150
NatomsRetained = 4630   ||  NMapping = 43/50  ||  time = 16.1051 sec |||  93/10150
NatomsRetained = 4630   ||  NMapping = 44/50  ||  time = 16.2074 sec |||  94/10150
NatomsRetained = 4630   ||  NMapping = 45/50  ||  time = 15.9003 sec |||  95/10150
NatomsRetained = 4630   ||  NMapping = 46/50  ||  time = 15.7574 sec |||  96/10150
NatomsRetained = 4630   ||  NMapping = 47/50  ||  time = 15.9002 sec |||  97/10150
NatomsRetained = 4630   ||  NMapping = 48/50  ||  time = 15.7739 sec |||  98/10150
NatomsRetained = 4630   ||  NMapping = 49/50  ||  time = 16.2156 sec |||  99/10150
NatomsRetained = 4630   ||  NMapping = 50/50  ||  time = 15.7767 sec |||  100/10150
