NatomsRetained = 4653   ||  NMapping = 1/50  ||  time = 15.0328 sec |||  1/10150
NatomsRetained = 4653   ||  NMapping = 2/50  ||  time = 15.0134 sec |||  2/10150
NatomsRetained = 4653   ||  NMapping = 3/50  ||  time = 14.9626 sec |||  3/10150
NatomsRetained = 4653   ||  NMapping = 4/50  ||  time = 14.8452 sec |||  4/10150
NatomsRetained = 4653   ||  NMapping = 5/50  ||  time = 14.9799 sec |||  5/10150
NatomsRetained = 4653   ||  NMapping = 6/50  ||  time = 15.1617 sec |||  6/10150
NatomsRetained = 4653   ||  NMapping = 7/50  ||  time = 15.0099 sec |||  7/10150
NatomsRetained = 4653   ||  NMapping = 8/50  ||  time = 15.0916 sec |||  8/10150
NatomsRetained = 4653   ||  NMapping = 9/50  ||  time = 15.0468 sec |||  9/10150
NatomsRetained = 4653   ||  NMapping = 10/50  ||  time = 14.9583 sec |||  10/10150
NatomsRetained = 4653   ||  NMapping = 11/50  ||  time = 14.8612 sec |||  11/10150
NatomsRetained = 4653   ||  NMapping = 12/50  ||  time = 14.6996 sec |||  12/10150
NatomsRetained = 4653   ||  NMapping = 13/50  ||  time = 14.8998 sec |||  13/10150
NatomsRetained = 4653   ||  NMapping = 14/50  ||  time = 14.9098 sec |||  14/10150
NatomsRetained = 4653   ||  NMapping = 15/50  ||  time = 14.9482 sec |||  15/10150
NatomsRetained = 4653   ||  NMapping = 16/50  ||  time = 14.9573 sec |||  16/10150
NatomsRetained = 4653   ||  NMapping = 17/50  ||  time = 14.9591 sec |||  17/10150
NatomsRetained = 4653   ||  NMapping = 18/50  ||  time = 15.0438 sec |||  18/10150
NatomsRetained = 4653   ||  NMapping = 19/50  ||  time = 15.2789 sec |||  19/10150
NatomsRetained = 4653   ||  NMapping = 20/50  ||  time = 14.9895 sec |||  20/10150
NatomsRetained = 4653   ||  NMapping = 21/50  ||  time = 14.9370 sec |||  21/10150
NatomsRetained = 4653   ||  NMapping = 22/50  ||  time = 15.0359 sec |||  22/10150
NatomsRetained = 4653   ||  NMapping = 23/50  ||  time = 15.1332 sec |||  23/10150
NatomsRetained = 4653   ||  NMapping = 24/50  ||  time = 14.9611 sec |||  24/10150
NatomsRetained = 4653   ||  NMapping = 25/50  ||  time = 14.7447 sec |||  25/10150
NatomsRetained = 4653   ||  NMapping = 26/50  ||  time = 15.0361 sec |||  26/10150
NatomsRetained = 4653   ||  NMapping = 27/50  ||  time = 14.7126 sec |||  27/10150
NatomsRetained = 4653   ||  NMapping = 28/50  ||  time = 15.3360 sec |||  28/10150
NatomsRetained = 4653   ||  NMapping = 29/50  ||  time = 15.0276 sec |||  29/10150
NatomsRetained = 4653   ||  NMapping = 30/50  ||  time = 14.9577 sec |||  30/10150
NatomsRetained = 4653   ||  NMapping = 31/50  ||  time = 14.8774 sec |||  31/10150
NatomsRetained = 4653   ||  NMapping = 32/50  ||  time = 15.2286 sec |||  32/10150
NatomsRetained = 4653   ||  NMapping = 33/50  ||  time = 15.0354 sec |||  33/10150
NatomsRetained = 4653   ||  NMapping = 34/50  ||  time = 14.8682 sec |||  34/10150
NatomsRetained = 4653   ||  NMapping = 35/50  ||  time = 15.0606 sec |||  35/10150
NatomsRetained = 4653   ||  NMapping = 36/50  ||  time = 14.7168 sec |||  36/10150
NatomsRetained = 4653   ||  NMapping = 37/50  ||  time = 15.1982 sec |||  37/10150
NatomsRetained = 4653   ||  NMapping = 38/50  ||  time = 14.9989 sec |||  38/10150
NatomsRetained = 4653   ||  NMapping = 39/50  ||  time = 14.9146 sec |||  39/10150
NatomsRetained = 4653   ||  NMapping = 40/50  ||  time = 14.9640 sec |||  40/10150
NatomsRetained = 4653   ||  NMapping = 41/50  ||  time = 14.8227 sec |||  41/10150
NatomsRetained = 4653   ||  NMapping = 42/50  ||  time = 15.0609 sec |||  42/10150
NatomsRetained = 4653   ||  NMapping = 43/50  ||  time = 14.8307 sec |||  43/10150
NatomsRetained = 4653   ||  NMapping = 44/50  ||  time = 14.9389 sec |||  44/10150
NatomsRetained = 4653   ||  NMapping = 45/50  ||  time = 14.7768 sec |||  45/10150
NatomsRetained = 4653   ||  NMapping = 46/50  ||  time = 15.0471 sec |||  46/10150
NatomsRetained = 4653   ||  NMapping = 47/50  ||  time = 15.0078 sec |||  47/10150
NatomsRetained = 4653   ||  NMapping = 48/50  ||  time = 15.0279 sec |||  48/10150
NatomsRetained = 4653   ||  NMapping = 49/50  ||  time = 14.8905 sec |||  49/10150
