NatomsRetained = 2399   ||  NMapping = 1/50  ||  time = 9.8485 sec |||  1/10000
NatomsRetained = 2399   ||  NMapping = 2/50  ||  time = 9.6119 sec |||  2/10000
NatomsRetained = 2399   ||  NMapping = 3/50  ||  time = 9.7663 sec |||  3/10000
NatomsRetained = 2399   ||  NMapping = 4/50  ||  time = 9.3987 sec |||  4/10000
NatomsRetained = 2399   ||  NMapping = 5/50  ||  time = 9.7123 sec |||  5/10000
NatomsRetained = 2399   ||  NMapping = 6/50  ||  time = 9.6613 sec |||  6/10000
NatomsRetained = 2399   ||  NMapping = 7/50  ||  time = 9.4907 sec |||  7/10000
NatomsRetained = 2399   ||  NMapping = 8/50  ||  time = 9.6969 sec |||  8/10000
NatomsRetained = 2399   ||  NMapping = 9/50  ||  time = 9.6751 sec |||  9/10000
NatomsRetained = 2399   ||  NMapping = 10/50  ||  time = 9.6080 sec |||  10/10000
NatomsRetained = 2399   ||  NMapping = 11/50  ||  time = 9.6348 sec |||  11/10000
NatomsRetained = 2399   ||  NMapping = 12/50  ||  time = 9.6315 sec |||  12/10000
NatomsRetained = 2399   ||  NMapping = 13/50  ||  time = 9.4756 sec |||  13/10000
NatomsRetained = 2399   ||  NMapping = 14/50  ||  time = 9.4277 sec |||  14/10000
NatomsRetained = 2399   ||  NMapping = 15/50  ||  time = 9.9298 sec |||  15/10000
NatomsRetained = 2399   ||  NMapping = 16/50  ||  time = 9.8647 sec |||  16/10000
NatomsRetained = 2399   ||  NMapping = 17/50  ||  time = 9.7328 sec |||  17/10000
NatomsRetained = 2399   ||  NMapping = 18/50  ||  time = 9.5158 sec |||  18/10000
NatomsRetained = 2399   ||  NMapping = 19/50  ||  time = 9.7038 sec |||  19/10000
NatomsRetained = 2399   ||  NMapping = 20/50  ||  time = 9.5558 sec |||  20/10000
NatomsRetained = 2399   ||  NMapping = 21/50  ||  time = 9.6641 sec |||  21/10000
NatomsRetained = 2399   ||  NMapping = 22/50  ||  time = 9.8051 sec |||  22/10000
NatomsRetained = 2399   ||  NMapping = 23/50  ||  time = 9.6736 sec |||  23/10000
NatomsRetained = 2399   ||  NMapping = 24/50  ||  time = 9.6976 sec |||  24/10000
NatomsRetained = 2399   ||  NMapping = 25/50  ||  time = 9.9002 sec |||  25/10000
NatomsRetained = 2399   ||  NMapping = 26/50  ||  time = 9.5724 sec |||  26/10000
NatomsRetained = 2399   ||  NMapping = 27/50  ||  time = 9.6511 sec |||  27/10000
NatomsRetained = 2399   ||  NMapping = 28/50  ||  time = 9.8091 sec |||  28/10000
NatomsRetained = 2399   ||  NMapping = 29/50  ||  time = 9.6514 sec |||  29/10000
NatomsRetained = 2399   ||  NMapping = 30/50  ||  time = 9.5808 sec |||  30/10000
NatomsRetained = 2399   ||  NMapping = 31/50  ||  time = 9.7593 sec |||  31/10000
NatomsRetained = 2399   ||  NMapping = 32/50  ||  time = 9.5505 sec |||  32/10000
NatomsRetained = 2399   ||  NMapping = 33/50  ||  time = 9.8126 sec |||  33/10000
NatomsRetained = 2399   ||  NMapping = 34/50  ||  time = 9.7471 sec |||  34/10000
NatomsRetained = 2399   ||  NMapping = 35/50  ||  time = 9.3452 sec |||  35/10000
NatomsRetained = 2399   ||  NMapping = 36/50  ||  time = 9.7003 sec |||  36/10000
NatomsRetained = 2399   ||  NMapping = 37/50  ||  time = 9.8966 sec |||  37/10000
NatomsRetained = 2399   ||  NMapping = 38/50  ||  time = 9.8478 sec |||  38/10000
NatomsRetained = 2399   ||  NMapping = 39/50  ||  time = 9.8155 sec |||  39/10000
NatomsRetained = 2399   ||  NMapping = 40/50  ||  time = 9.7214 sec |||  40/10000
NatomsRetained = 2399   ||  NMapping = 41/50  ||  time = 9.8400 sec |||  41/10000
NatomsRetained = 2399   ||  NMapping = 42/50  ||  time = 9.3838 sec |||  42/10000
NatomsRetained = 2399   ||  NMapping = 43/50  ||  time = 9.4219 sec |||  43/10000
NatomsRetained = 2399   ||  NMapping = 44/50  ||  time = 9.6351 sec |||  44/10000
NatomsRetained = 2399   ||  NMapping = 45/50  ||  time = 9.7180 sec |||  45/10000
NatomsRetained = 2399   ||  NMapping = 46/50  ||  time = 9.9866 sec |||  46/10000
NatomsRetained = 2399   ||  NMapping = 47/50  ||  time = 9.4652 sec |||  47/10000
NatomsRetained = 2399   ||  NMapping = 48/50  ||  time = 9.8032 sec |||  48/10000
NatomsRetained = 2399   ||  NMapping = 49/50  ||  time = 9.8520 sec |||  49/10000
NatomsRetained = 2399   ||  NMapping = 50/50  ||  time = 9.7310 sec |||  50/10000
NatomsRetained = 2387   ||  NMapping = 1/50  ||  time = 9.5869 sec |||  51/10000
NatomsRetained = 2387   ||  NMapping = 2/50  ||  time = 9.4505 sec |||  52/10000
NatomsRetained = 2387   ||  NMapping = 3/50  ||  time = 9.5007 sec |||  53/10000
NatomsRetained = 2387   ||  NMapping = 4/50  ||  time = 9.6422 sec |||  54/10000
NatomsRetained = 2387   ||  NMapping = 5/50  ||  time = 9.5080 sec |||  55/10000
NatomsRetained = 2387   ||  NMapping = 6/50  ||  time = 9.2466 sec |||  56/10000
