NatomsRetained = 1655   ||  NMapping = 1/50  ||  time = 7.3439 sec |||  1/10350
NatomsRetained = 1655   ||  NMapping = 2/50  ||  time = 6.9977 sec |||  2/10350
NatomsRetained = 1655   ||  NMapping = 3/50  ||  time = 7.4611 sec |||  3/10350
NatomsRetained = 1655   ||  NMapping = 4/50  ||  time = 7.2875 sec |||  4/10350
NatomsRetained = 1655   ||  NMapping = 5/50  ||  time = 7.3401 sec |||  5/10350
NatomsRetained = 1655   ||  NMapping = 6/50  ||  time = 7.2009 sec |||  6/10350
NatomsRetained = 1655   ||  NMapping = 7/50  ||  time = 7.1720 sec |||  7/10350
NatomsRetained = 1655   ||  NMapping = 8/50  ||  time = 7.3062 sec |||  8/10350
NatomsRetained = 1655   ||  NMapping = 9/50  ||  time = 7.3712 sec |||  9/10350
NatomsRetained = 1655   ||  NMapping = 10/50  ||  time = 7.2166 sec |||  10/10350
NatomsRetained = 1655   ||  NMapping = 11/50  ||  time = 7.2650 sec |||  11/10350
NatomsRetained = 1655   ||  NMapping = 12/50  ||  time = 7.1654 sec |||  12/10350
NatomsRetained = 1655   ||  NMapping = 13/50  ||  time = 7.0643 sec |||  13/10350
NatomsRetained = 1655   ||  NMapping = 14/50  ||  time = 7.0782 sec |||  14/10350
NatomsRetained = 1655   ||  NMapping = 15/50  ||  time = 7.1756 sec |||  15/10350
NatomsRetained = 1655   ||  NMapping = 16/50  ||  time = 7.2454 sec |||  16/10350
NatomsRetained = 1655   ||  NMapping = 17/50  ||  time = 7.1372 sec |||  17/10350
NatomsRetained = 1655   ||  NMapping = 18/50  ||  time = 6.9960 sec |||  18/10350
NatomsRetained = 1655   ||  NMapping = 19/50  ||  time = 7.1103 sec |||  19/10350
NatomsRetained = 1655   ||  NMapping = 20/50  ||  time = 7.0652 sec |||  20/10350
NatomsRetained = 1655   ||  NMapping = 21/50  ||  time = 7.1377 sec |||  21/10350
NatomsRetained = 1655   ||  NMapping = 22/50  ||  time = 7.0657 sec |||  22/10350
NatomsRetained = 1655   ||  NMapping = 23/50  ||  time = 7.0884 sec |||  23/10350
NatomsRetained = 1655   ||  NMapping = 24/50  ||  time = 7.2236 sec |||  24/10350
NatomsRetained = 1655   ||  NMapping = 25/50  ||  time = 7.3079 sec |||  25/10350
NatomsRetained = 1655   ||  NMapping = 26/50  ||  time = 7.4220 sec |||  26/10350
NatomsRetained = 1655   ||  NMapping = 27/50  ||  time = 7.3180 sec |||  27/10350
NatomsRetained = 1655   ||  NMapping = 28/50  ||  time = 7.1653 sec |||  28/10350
NatomsRetained = 1655   ||  NMapping = 29/50  ||  time = 7.1953 sec |||  29/10350
NatomsRetained = 1655   ||  NMapping = 30/50  ||  time = 7.1498 sec |||  30/10350
NatomsRetained = 1655   ||  NMapping = 31/50  ||  time = 7.1585 sec |||  31/10350
NatomsRetained = 1655   ||  NMapping = 32/50  ||  time = 7.1154 sec |||  32/10350
NatomsRetained = 1655   ||  NMapping = 33/50  ||  time = 7.2009 sec |||  33/10350
NatomsRetained = 1655   ||  NMapping = 34/50  ||  time = 7.2039 sec |||  34/10350
NatomsRetained = 1655   ||  NMapping = 35/50  ||  time = 7.0664 sec |||  35/10350
NatomsRetained = 1655   ||  NMapping = 36/50  ||  time = 7.0390 sec |||  36/10350
NatomsRetained = 1655   ||  NMapping = 37/50  ||  time = 6.9712 sec |||  37/10350
NatomsRetained = 1655   ||  NMapping = 38/50  ||  time = 6.9584 sec |||  38/10350
NatomsRetained = 1655   ||  NMapping = 39/50  ||  time = 7.4249 sec |||  39/10350
NatomsRetained = 1655   ||  NMapping = 40/50  ||  time = 7.1206 sec |||  40/10350
NatomsRetained = 1655   ||  NMapping = 41/50  ||  time = 7.3275 sec |||  41/10350
NatomsRetained = 1655   ||  NMapping = 42/50  ||  time = 7.0422 sec |||  42/10350
NatomsRetained = 1655   ||  NMapping = 43/50  ||  time = 7.0987 sec |||  43/10350
NatomsRetained = 1655   ||  NMapping = 44/50  ||  time = 7.0676 sec |||  44/10350
NatomsRetained = 1655   ||  NMapping = 45/50  ||  time = 7.1797 sec |||  45/10350
NatomsRetained = 1655   ||  NMapping = 46/50  ||  time = 7.1197 sec |||  46/10350
NatomsRetained = 1655   ||  NMapping = 47/50  ||  time = 7.0045 sec |||  47/10350
NatomsRetained = 1655   ||  NMapping = 48/50  ||  time = 7.2144 sec |||  48/10350
NatomsRetained = 1655   ||  NMapping = 49/50  ||  time = 7.2041 sec |||  49/10350
NatomsRetained = 1655   ||  NMapping = 50/50  ||  time = 7.1215 sec |||  50/10350
NatomsRetained = 1647   ||  NMapping = 1/50  ||  time = 7.2102 sec |||  51/10350
NatomsRetained = 1647   ||  NMapping = 2/50  ||  time = 7.0801 sec |||  52/10350
NatomsRetained = 1647   ||  NMapping = 3/50  ||  time = 6.9575 sec |||  53/10350
NatomsRetained = 1647   ||  NMapping = 4/50  ||  time = 7.0811 sec |||  54/10350
NatomsRetained = 1647   ||  NMapping = 5/50  ||  time = 7.0475 sec |||  55/10350
NatomsRetained = 1647   ||  NMapping = 6/50  ||  time = 7.2676 sec |||  56/10350
NatomsRetained = 1647   ||  NMapping = 7/50  ||  time = 7.2301 sec |||  57/10350
NatomsRetained = 1647   ||  NMapping = 8/50  ||  time = 7.0993 sec |||  58/10350
NatomsRetained = 1647   ||  NMapping = 9/50  ||  time = 7.1382 sec |||  59/10350
NatomsRetained = 1647   ||  NMapping = 10/50  ||  time = 7.1114 sec |||  60/10350
NatomsRetained = 1647   ||  NMapping = 11/50  ||  time = 7.0967 sec |||  61/10350
