NatomsRetained = 1655   ||  NMapping = 1/50  ||  time = 6.9299 sec |||  1/10350
NatomsRetained = 1655   ||  NMapping = 2/50  ||  time = 6.8891 sec |||  2/10350
NatomsRetained = 1655   ||  NMapping = 3/50  ||  time = 6.9379 sec |||  3/10350
NatomsRetained = 1655   ||  NMapping = 4/50  ||  time = 7.0155 sec |||  4/10350
NatomsRetained = 1655   ||  NMapping = 5/50  ||  time = 7.1485 sec |||  5/10350
NatomsRetained = 1655   ||  NMapping = 6/50  ||  time = 7.0173 sec |||  6/10350
NatomsRetained = 1655   ||  NMapping = 7/50  ||  time = 7.0376 sec |||  7/10350
NatomsRetained = 1655   ||  NMapping = 8/50  ||  time = 7.2192 sec |||  8/10350
NatomsRetained = 1655   ||  NMapping = 9/50  ||  time = 7.1214 sec |||  9/10350
NatomsRetained = 1655   ||  NMapping = 10/50  ||  time = 7.0036 sec |||  10/10350
NatomsRetained = 1655   ||  NMapping = 11/50  ||  time = 6.9971 sec |||  11/10350
NatomsRetained = 1655   ||  NMapping = 12/50  ||  time = 7.1723 sec |||  12/10350
NatomsRetained = 1655   ||  NMapping = 13/50  ||  time = 7.1334 sec |||  13/10350
NatomsRetained = 1655   ||  NMapping = 14/50  ||  time = 7.0356 sec |||  14/10350
NatomsRetained = 1655   ||  NMapping = 15/50  ||  time = 7.1585 sec |||  15/10350
NatomsRetained = 1655   ||  NMapping = 16/50  ||  time = 6.9760 sec |||  16/10350
NatomsRetained = 1655   ||  NMapping = 17/50  ||  time = 7.0743 sec |||  17/10350
NatomsRetained = 1655   ||  NMapping = 18/50  ||  time = 7.1396 sec |||  18/10350
NatomsRetained = 1655   ||  NMapping = 19/50  ||  time = 7.0767 sec |||  19/10350
NatomsRetained = 1655   ||  NMapping = 20/50  ||  time = 6.9896 sec |||  20/10350
NatomsRetained = 1655   ||  NMapping = 21/50  ||  time = 7.1108 sec |||  21/10350
NatomsRetained = 1655   ||  NMapping = 22/50  ||  time = 7.1141 sec |||  22/10350
NatomsRetained = 1655   ||  NMapping = 23/50  ||  time = 7.3309 sec |||  23/10350
NatomsRetained = 1655   ||  NMapping = 24/50  ||  time = 7.1802 sec |||  24/10350
NatomsRetained = 1655   ||  NMapping = 25/50  ||  time = 7.1414 sec |||  25/10350
NatomsRetained = 1655   ||  NMapping = 26/50  ||  time = 7.0375 sec |||  26/10350
NatomsRetained = 1655   ||  NMapping = 27/50  ||  time = 6.9777 sec |||  27/10350
NatomsRetained = 1655   ||  NMapping = 28/50  ||  time = 6.9463 sec |||  28/10350
NatomsRetained = 1655   ||  NMapping = 29/50  ||  time = 7.1790 sec |||  29/10350
NatomsRetained = 1655   ||  NMapping = 30/50  ||  time = 7.0215 sec |||  30/10350
NatomsRetained = 1655   ||  NMapping = 31/50  ||  time = 7.0450 sec |||  31/10350
NatomsRetained = 1655   ||  NMapping = 32/50  ||  time = 6.9329 sec |||  32/10350
NatomsRetained = 1655   ||  NMapping = 33/50  ||  time = 7.1889 sec |||  33/10350
NatomsRetained = 1655   ||  NMapping = 34/50  ||  time = 7.1188 sec |||  34/10350
NatomsRetained = 1655   ||  NMapping = 35/50  ||  time = 6.8721 sec |||  35/10350
NatomsRetained = 1655   ||  NMapping = 36/50  ||  time = 6.9750 sec |||  36/10350
NatomsRetained = 1655   ||  NMapping = 37/50  ||  time = 7.0298 sec |||  37/10350
NatomsRetained = 1655   ||  NMapping = 38/50  ||  time = 7.0248 sec |||  38/10350
NatomsRetained = 1655   ||  NMapping = 39/50  ||  time = 7.0782 sec |||  39/10350
NatomsRetained = 1655   ||  NMapping = 40/50  ||  time = 7.2116 sec |||  40/10350
NatomsRetained = 1655   ||  NMapping = 41/50  ||  time = 7.3673 sec |||  41/10350
NatomsRetained = 1655   ||  NMapping = 42/50  ||  time = 7.0222 sec |||  42/10350
NatomsRetained = 1655   ||  NMapping = 43/50  ||  time = 7.0624 sec |||  43/10350
NatomsRetained = 1655   ||  NMapping = 44/50  ||  time = 7.1169 sec |||  44/10350
NatomsRetained = 1655   ||  NMapping = 45/50  ||  time = 7.0925 sec |||  45/10350
NatomsRetained = 1655   ||  NMapping = 46/50  ||  time = 7.1081 sec |||  46/10350
NatomsRetained = 1655   ||  NMapping = 47/50  ||  time = 7.1089 sec |||  47/10350
NatomsRetained = 1655   ||  NMapping = 48/50  ||  time = 7.1406 sec |||  48/10350
NatomsRetained = 1655   ||  NMapping = 49/50  ||  time = 7.0256 sec |||  49/10350
NatomsRetained = 1655   ||  NMapping = 50/50  ||  time = 7.0851 sec |||  50/10350
NatomsRetained = 1647   ||  NMapping = 1/50  ||  time = 6.9565 sec |||  51/10350
NatomsRetained = 1647   ||  NMapping = 2/50  ||  time = 6.8319 sec |||  52/10350
NatomsRetained = 1647   ||  NMapping = 3/50  ||  time = 6.9607 sec |||  53/10350
NatomsRetained = 1647   ||  NMapping = 4/50  ||  time = 6.9413 sec |||  54/10350
NatomsRetained = 1647   ||  NMapping = 5/50  ||  time = 6.9940 sec |||  55/10350
NatomsRetained = 1647   ||  NMapping = 6/50  ||  time = 7.0188 sec |||  56/10350
NatomsRetained = 1647   ||  NMapping = 7/50  ||  time = 7.0778 sec |||  57/10350
NatomsRetained = 1647   ||  NMapping = 8/50  ||  time = 7.0640 sec |||  58/10350
NatomsRetained = 1647   ||  NMapping = 9/50  ||  time = 7.0174 sec |||  59/10350
NatomsRetained = 1647   ||  NMapping = 10/50  ||  time = 7.1510 sec |||  60/10350
NatomsRetained = 1647   ||  NMapping = 11/50  ||  time = 6.9687 sec |||  61/10350
NatomsRetained = 1647   ||  NMapping = 12/50  ||  time = 6.8949 sec |||  62/10350
NatomsRetained = 1647   ||  NMapping = 13/50  ||  time = 6.9239 sec |||  63/10350
NatomsRetained = 1647   ||  NMapping = 14/50  ||  time = 7.0318 sec |||  64/10350
NatomsRetained = 1647   ||  NMapping = 15/50  ||  time = 7.0886 sec |||  65/10350
NatomsRetained = 1647   ||  NMapping = 16/50  ||  time = 6.9970 sec |||  66/10350
NatomsRetained = 1647   ||  NMapping = 17/50  ||  time = 7.1211 sec |||  67/10350
NatomsRetained = 1647   ||  NMapping = 18/50  ||  time = 7.0069 sec |||  68/10350
NatomsRetained = 1647   ||  NMapping = 19/50  ||  time = 7.0603 sec |||  69/10350
NatomsRetained = 1647   ||  NMapping = 20/50  ||  time = 7.1211 sec |||  70/10350
NatomsRetained = 1647   ||  NMapping = 21/50  ||  time = 6.9811 sec |||  71/10350
NatomsRetained = 1647   ||  NMapping = 22/50  ||  time = 6.9524 sec |||  72/10350
NatomsRetained = 1647   ||  NMapping = 23/50  ||  time = 6.9099 sec |||  73/10350
NatomsRetained = 1647   ||  NMapping = 24/50  ||  time = 7.0088 sec |||  74/10350
NatomsRetained = 1647   ||  NMapping = 25/50  ||  time = 6.8940 sec |||  75/10350
NatomsRetained = 1647   ||  NMapping = 26/50  ||  time = 7.0603 sec |||  76/10350
NatomsRetained = 1647   ||  NMapping = 27/50  ||  time = 6.8681 sec |||  77/10350
NatomsRetained = 1647   ||  NMapping = 28/50  ||  time = 7.0181 sec |||  78/10350
NatomsRetained = 1647   ||  NMapping = 29/50  ||  time = 7.2250 sec |||  79/10350
NatomsRetained = 1647   ||  NMapping = 30/50  ||  time = 6.9743 sec |||  80/10350
NatomsRetained = 1647   ||  NMapping = 31/50  ||  time = 7.1451 sec |||  81/10350
NatomsRetained = 1647   ||  NMapping = 32/50  ||  time = 7.1204 sec |||  82/10350
NatomsRetained = 1647   ||  NMapping = 33/50  ||  time = 7.0824 sec |||  83/10350
NatomsRetained = 1647   ||  NMapping = 34/50  ||  time = 7.0043 sec |||  84/10350
NatomsRetained = 1647   ||  NMapping = 35/50  ||  time = 6.9893 sec |||  85/10350
NatomsRetained = 1647   ||  NMapping = 36/50  ||  time = 7.2445 sec |||  86/10350
NatomsRetained = 1647   ||  NMapping = 37/50  ||  time = 6.9863 sec |||  87/10350
NatomsRetained = 1647   ||  NMapping = 38/50  ||  time = 7.2177 sec |||  88/10350
NatomsRetained = 1647   ||  NMapping = 39/50  ||  time = 7.1172 sec |||  89/10350
NatomsRetained = 1647   ||  NMapping = 40/50  ||  time = 6.9691 sec |||  90/10350
NatomsRetained = 1647   ||  NMapping = 41/50  ||  time = 7.0824 sec |||  91/10350
NatomsRetained = 1647   ||  NMapping = 42/50  ||  time = 7.1150 sec |||  92/10350
NatomsRetained = 1647   ||  NMapping = 43/50  ||  time = 7.0945 sec |||  93/10350
NatomsRetained = 1647   ||  NMapping = 44/50  ||  time = 6.9799 sec |||  94/10350
NatomsRetained = 1647   ||  NMapping = 45/50  ||  time = 7.2860 sec |||  95/10350
NatomsRetained = 1647   ||  NMapping = 46/50  ||  time = 7.1640 sec |||  96/10350
NatomsRetained = 1647   ||  NMapping = 47/50  ||  time = 7.0396 sec |||  97/10350
NatomsRetained = 1647   ||  NMapping = 48/50  ||  time = 7.0845 sec |||  98/10350
NatomsRetained = 1647   ||  NMapping = 49/50  ||  time = 6.9430 sec |||  99/10350
NatomsRetained = 1647   ||  NMapping = 50/50  ||  time = 6.9625 sec |||  100/10350
NatomsRetained = 1639   ||  NMapping = 1/50  ||  time = 6.9746 sec |||  101/10350
NatomsRetained = 1639   ||  NMapping = 2/50  ||  time = 6.8977 sec |||  102/10350
NatomsRetained = 1639   ||  NMapping = 3/50  ||  time = 6.9633 sec |||  103/10350
NatomsRetained = 1639   ||  NMapping = 4/50  ||  time = 6.8684 sec |||  104/10350
NatomsRetained = 1639   ||  NMapping = 5/50  ||  time = 6.9115 sec |||  105/10350
NatomsRetained = 1639   ||  NMapping = 6/50  ||  time = 6.8610 sec |||  106/10350
NatomsRetained = 1639   ||  NMapping = 7/50  ||  time = 7.0669 sec |||  107/10350
NatomsRetained = 1639   ||  NMapping = 8/50  ||  time = 6.9030 sec |||  108/10350
NatomsRetained = 1639   ||  NMapping = 9/50  ||  time = 6.9365 sec |||  109/10350
NatomsRetained = 1639   ||  NMapping = 10/50  ||  time = 6.8672 sec |||  110/10350
NatomsRetained = 1639   ||  NMapping = 11/50  ||  time = 7.0400 sec |||  111/10350
NatomsRetained = 1639   ||  NMapping = 12/50  ||  time = 7.0228 sec |||  112/10350
NatomsRetained = 1639   ||  NMapping = 13/50  ||  time = 6.9774 sec |||  113/10350
NatomsRetained = 1639   ||  NMapping = 14/50  ||  time = 6.9978 sec |||  114/10350
NatomsRetained = 1639   ||  NMapping = 15/50  ||  time = 7.1389 sec |||  115/10350
NatomsRetained = 1639   ||  NMapping = 16/50  ||  time = 7.0224 sec |||  116/10350
NatomsRetained = 1639   ||  NMapping = 17/50  ||  time = 7.0986 sec |||  117/10350
NatomsRetained = 1639   ||  NMapping = 18/50  ||  time = 7.0107 sec |||  118/10350
NatomsRetained = 1639   ||  NMapping = 19/50  ||  time = 6.9135 sec |||  119/10350
NatomsRetained = 1639   ||  NMapping = 20/50  ||  time = 6.9936 sec |||  120/10350
NatomsRetained = 1639   ||  NMapping = 21/50  ||  time = 7.0013 sec |||  121/10350
NatomsRetained = 1639   ||  NMapping = 22/50  ||  time = 6.9406 sec |||  122/10350
NatomsRetained = 1639   ||  NMapping = 23/50  ||  time = 6.9784 sec |||  123/10350
NatomsRetained = 1639   ||  NMapping = 24/50  ||  time = 7.0733 sec |||  124/10350
NatomsRetained = 1639   ||  NMapping = 25/50  ||  time = 7.1629 sec |||  125/10350
NatomsRetained = 1639   ||  NMapping = 26/50  ||  time = 6.9748 sec |||  126/10350
NatomsRetained = 1639   ||  NMapping = 27/50  ||  time = 7.0713 sec |||  127/10350
NatomsRetained = 1639   ||  NMapping = 28/50  ||  time = 7.0144 sec |||  128/10350
NatomsRetained = 1639   ||  NMapping = 29/50  ||  time = 6.9069 sec |||  129/10350
NatomsRetained = 1639   ||  NMapping = 30/50  ||  time = 7.1349 sec |||  130/10350
NatomsRetained = 1639   ||  NMapping = 31/50  ||  time = 7.0886 sec |||  131/10350
NatomsRetained = 1639   ||  NMapping = 32/50  ||  time = 6.9623 sec |||  132/10350
NatomsRetained = 1639   ||  NMapping = 33/50  ||  time = 6.8703 sec |||  133/10350
NatomsRetained = 1639   ||  NMapping = 34/50  ||  time = 6.9537 sec |||  134/10350
NatomsRetained = 1639   ||  NMapping = 35/50  ||  time = 6.9735 sec |||  135/10350
NatomsRetained = 1639   ||  NMapping = 36/50  ||  time = 7.0016 sec |||  136/10350
NatomsRetained = 1639   ||  NMapping = 37/50  ||  time = 6.8970 sec |||  137/10350
NatomsRetained = 1639   ||  NMapping = 38/50  ||  time = 7.0960 sec |||  138/10350
NatomsRetained = 1639   ||  NMapping = 39/50  ||  time = 6.9831 sec |||  139/10350
NatomsRetained = 1639   ||  NMapping = 40/50  ||  time = 6.9280 sec |||  140/10350
NatomsRetained = 1639   ||  NMapping = 41/50  ||  time = 7.0886 sec |||  141/10350
NatomsRetained = 1639   ||  NMapping = 42/50  ||  time = 7.0634 sec |||  142/10350
NatomsRetained = 1639   ||  NMapping = 43/50  ||  time = 7.0416 sec |||  143/10350
NatomsRetained = 1639   ||  NMapping = 44/50  ||  time = 7.0012 sec |||  144/10350
NatomsRetained = 1639   ||  NMapping = 45/50  ||  time = 6.9462 sec |||  145/10350
NatomsRetained = 1639   ||  NMapping = 46/50  ||  time = 6.9982 sec |||  146/10350
NatomsRetained = 1639   ||  NMapping = 47/50  ||  time = 7.1673 sec |||  147/10350
NatomsRetained = 1639   ||  NMapping = 48/50  ||  time = 7.2055 sec |||  148/10350
NatomsRetained = 1639   ||  NMapping = 49/50  ||  time = 6.9320 sec |||  149/10350
NatomsRetained = 1639   ||  NMapping = 50/50  ||  time = 6.9888 sec |||  150/10350
NatomsRetained = 1631   ||  NMapping = 1/50  ||  time = 6.9542 sec |||  151/10350
NatomsRetained = 1631   ||  NMapping = 2/50  ||  time = 6.8992 sec |||  152/10350
NatomsRetained = 1631   ||  NMapping = 3/50  ||  time = 7.0353 sec |||  153/10350
NatomsRetained = 1631   ||  NMapping = 4/50  ||  time = 7.0194 sec |||  154/10350
NatomsRetained = 1631   ||  NMapping = 5/50  ||  time = 7.1223 sec |||  155/10350
NatomsRetained = 1631   ||  NMapping = 6/50  ||  time = 7.0489 sec |||  156/10350
NatomsRetained = 1631   ||  NMapping = 7/50  ||  time = 7.0434 sec |||  157/10350
NatomsRetained = 1631   ||  NMapping = 8/50  ||  time = 7.0142 sec |||  158/10350
NatomsRetained = 1631   ||  NMapping = 9/50  ||  time = 6.9663 sec |||  159/10350
NatomsRetained = 1631   ||  NMapping = 10/50  ||  time = 6.7867 sec |||  160/10350
NatomsRetained = 1631   ||  NMapping = 11/50  ||  time = 7.0418 sec |||  161/10350
NatomsRetained = 1631   ||  NMapping = 12/50  ||  time = 6.9216 sec |||  162/10350
NatomsRetained = 1631   ||  NMapping = 13/50  ||  time = 7.1696 sec |||  163/10350
NatomsRetained = 1631   ||  NMapping = 14/50  ||  time = 6.9541 sec |||  164/10350
NatomsRetained = 1631   ||  NMapping = 15/50  ||  time = 7.1230 sec |||  165/10350
NatomsRetained = 1631   ||  NMapping = 16/50  ||  time = 7.0821 sec |||  166/10350
NatomsRetained = 1631   ||  NMapping = 17/50  ||  time = 7.1178 sec |||  167/10350
NatomsRetained = 1631   ||  NMapping = 18/50  ||  time = 6.9940 sec |||  168/10350
NatomsRetained = 1631   ||  NMapping = 19/50  ||  time = 7.0732 sec |||  169/10350
NatomsRetained = 1631   ||  NMapping = 20/50  ||  time = 7.0725 sec |||  170/10350
NatomsRetained = 1631   ||  NMapping = 21/50  ||  time = 7.1046 sec |||  171/10350
NatomsRetained = 1631   ||  NMapping = 22/50  ||  time = 7.1416 sec |||  172/10350
NatomsRetained = 1631   ||  NMapping = 23/50  ||  time = 6.9217 sec |||  173/10350
NatomsRetained = 1631   ||  NMapping = 24/50  ||  time = 7.2189 sec |||  174/10350
NatomsRetained = 1631   ||  NMapping = 25/50  ||  time = 6.9359 sec |||  175/10350
NatomsRetained = 1631   ||  NMapping = 26/50  ||  time = 6.9968 sec |||  176/10350
NatomsRetained = 1631   ||  NMapping = 27/50  ||  time = 7.1640 sec |||  177/10350
NatomsRetained = 1631   ||  NMapping = 28/50  ||  time = 6.8534 sec |||  178/10350
NatomsRetained = 1631   ||  NMapping = 29/50  ||  time = 7.1380 sec |||  179/10350
NatomsRetained = 1631   ||  NMapping = 30/50  ||  time = 7.2611 sec |||  180/10350
NatomsRetained = 1631   ||  NMapping = 31/50  ||  time = 7.2049 sec |||  181/10350
NatomsRetained = 1631   ||  NMapping = 32/50  ||  time = 7.1802 sec |||  182/10350
NatomsRetained = 1631   ||  NMapping = 33/50  ||  time = 6.9370 sec |||  183/10350
NatomsRetained = 1631   ||  NMapping = 34/50  ||  time = 7.2049 sec |||  184/10350
NatomsRetained = 1631   ||  NMapping = 35/50  ||  time = 7.1130 sec |||  185/10350
NatomsRetained = 1631   ||  NMapping = 36/50  ||  time = 7.0878 sec |||  186/10350
NatomsRetained = 1631   ||  NMapping = 37/50  ||  time = 6.9889 sec |||  187/10350
NatomsRetained = 1631   ||  NMapping = 38/50  ||  time = 6.9383 sec |||  188/10350
NatomsRetained = 1631   ||  NMapping = 39/50  ||  time = 6.9439 sec |||  189/10350
NatomsRetained = 1631   ||  NMapping = 40/50  ||  time = 7.0508 sec |||  190/10350
NatomsRetained = 1631   ||  NMapping = 41/50  ||  time = 7.0022 sec |||  191/10350
NatomsRetained = 1631   ||  NMapping = 42/50  ||  time = 6.9966 sec |||  192/10350
NatomsRetained = 1631   ||  NMapping = 43/50  ||  time = 6.9043 sec |||  193/10350
NatomsRetained = 1631   ||  NMapping = 44/50  ||  time = 7.2084 sec |||  194/10350
NatomsRetained = 1631   ||  NMapping = 45/50  ||  time = 7.1132 sec |||  195/10350
NatomsRetained = 1631   ||  NMapping = 46/50  ||  time = 7.0229 sec |||  196/10350
NatomsRetained = 1631   ||  NMapping = 47/50  ||  time = 7.0745 sec |||  197/10350
NatomsRetained = 1631   ||  NMapping = 48/50  ||  time = 6.9553 sec |||  198/10350
NatomsRetained = 1631   ||  NMapping = 49/50  ||  time = 7.3216 sec |||  199/10350
NatomsRetained = 1631   ||  NMapping = 50/50  ||  time = 6.9614 sec |||  200/10350
NatomsRetained = 1623   ||  NMapping = 1/50  ||  time = 7.0274 sec |||  201/10350
NatomsRetained = 1623   ||  NMapping = 2/50  ||  time = 6.9946 sec |||  202/10350
NatomsRetained = 1623   ||  NMapping = 3/50  ||  time = 7.2110 sec |||  203/10350
NatomsRetained = 1623   ||  NMapping = 4/50  ||  time = 6.9685 sec |||  204/10350
NatomsRetained = 1623   ||  NMapping = 5/50  ||  time = 7.0438 sec |||  205/10350
NatomsRetained = 1623   ||  NMapping = 6/50  ||  time = 7.1180 sec |||  206/10350
NatomsRetained = 1623   ||  NMapping = 7/50  ||  time = 7.1044 sec |||  207/10350
NatomsRetained = 1623   ||  NMapping = 8/50  ||  time = 7.1193 sec |||  208/10350
NatomsRetained = 1623   ||  NMapping = 9/50  ||  time = 6.9755 sec |||  209/10350
NatomsRetained = 1623   ||  NMapping = 10/50  ||  time = 6.9603 sec |||  210/10350
NatomsRetained = 1623   ||  NMapping = 11/50  ||  time = 6.8906 sec |||  211/10350
NatomsRetained = 1623   ||  NMapping = 12/50  ||  time = 6.9787 sec |||  212/10350
NatomsRetained = 1623   ||  NMapping = 13/50  ||  time = 7.0898 sec |||  213/10350
NatomsRetained = 1623   ||  NMapping = 14/50  ||  time = 7.1697 sec |||  214/10350
NatomsRetained = 1623   ||  NMapping = 15/50  ||  time = 6.9757 sec |||  215/10350
NatomsRetained = 1623   ||  NMapping = 16/50  ||  time = 6.9546 sec |||  216/10350
NatomsRetained = 1623   ||  NMapping = 17/50  ||  time = 7.1513 sec |||  217/10350
NatomsRetained = 1623   ||  NMapping = 18/50  ||  time = 7.0997 sec |||  218/10350
NatomsRetained = 1623   ||  NMapping = 19/50  ||  time = 7.1280 sec |||  219/10350
NatomsRetained = 1623   ||  NMapping = 20/50  ||  time = 7.2582 sec |||  220/10350
NatomsRetained = 1623   ||  NMapping = 21/50  ||  time = 7.3316 sec |||  221/10350
NatomsRetained = 1623   ||  NMapping = 22/50  ||  time = 7.1112 sec |||  222/10350
NatomsRetained = 1623   ||  NMapping = 23/50  ||  time = 6.9265 sec |||  223/10350
NatomsRetained = 1623   ||  NMapping = 24/50  ||  time = 7.2743 sec |||  224/10350
NatomsRetained = 1623   ||  NMapping = 25/50  ||  time = 7.0307 sec |||  225/10350
NatomsRetained = 1623   ||  NMapping = 26/50  ||  time = 6.8525 sec |||  226/10350
NatomsRetained = 1623   ||  NMapping = 27/50  ||  time = 7.1024 sec |||  227/10350
NatomsRetained = 1623   ||  NMapping = 28/50  ||  time = 7.0128 sec |||  228/10350
NatomsRetained = 1623   ||  NMapping = 29/50  ||  time = 6.9679 sec |||  229/10350
NatomsRetained = 1623   ||  NMapping = 30/50  ||  time = 6.9381 sec |||  230/10350
NatomsRetained = 1623   ||  NMapping = 31/50  ||  time = 7.0042 sec |||  231/10350
NatomsRetained = 1623   ||  NMapping = 32/50  ||  time = 7.1681 sec |||  232/10350
NatomsRetained = 1623   ||  NMapping = 33/50  ||  time = 7.0498 sec |||  233/10350
NatomsRetained = 1623   ||  NMapping = 34/50  ||  time = 6.9880 sec |||  234/10350
NatomsRetained = 1623   ||  NMapping = 35/50  ||  time = 6.9892 sec |||  235/10350
NatomsRetained = 1623   ||  NMapping = 36/50  ||  time = 6.9445 sec |||  236/10350
NatomsRetained = 1623   ||  NMapping = 37/50  ||  time = 6.9364 sec |||  237/10350
NatomsRetained = 1623   ||  NMapping = 38/50  ||  time = 6.9265 sec |||  238/10350
NatomsRetained = 1623   ||  NMapping = 39/50  ||  time = 7.0849 sec |||  239/10350
NatomsRetained = 1623   ||  NMapping = 40/50  ||  time = 7.0211 sec |||  240/10350
NatomsRetained = 1623   ||  NMapping = 41/50  ||  time = 7.2104 sec |||  241/10350
NatomsRetained = 1623   ||  NMapping = 42/50  ||  time = 7.0633 sec |||  242/10350
NatomsRetained = 1623   ||  NMapping = 43/50  ||  time = 7.1401 sec |||  243/10350
NatomsRetained = 1623   ||  NMapping = 44/50  ||  time = 7.2145 sec |||  244/10350
NatomsRetained = 1623   ||  NMapping = 45/50  ||  time = 6.7991 sec |||  245/10350
NatomsRetained = 1623   ||  NMapping = 46/50  ||  time = 6.9863 sec |||  246/10350
NatomsRetained = 1623   ||  NMapping = 47/50  ||  time = 6.9232 sec |||  247/10350
NatomsRetained = 1623   ||  NMapping = 48/50  ||  time = 7.0155 sec |||  248/10350
NatomsRetained = 1623   ||  NMapping = 49/50  ||  time = 7.0088 sec |||  249/10350
NatomsRetained = 1623   ||  NMapping = 50/50  ||  time = 7.0424 sec |||  250/10350
NatomsRetained = 1615   ||  NMapping = 1/50  ||  time = 6.8593 sec |||  251/10350
NatomsRetained = 1615   ||  NMapping = 2/50  ||  time = 7.1074 sec |||  252/10350
NatomsRetained = 1615   ||  NMapping = 3/50  ||  time = 7.1093 sec |||  253/10350
NatomsRetained = 1615   ||  NMapping = 4/50  ||  time = 6.9744 sec |||  254/10350
NatomsRetained = 1615   ||  NMapping = 5/50  ||  time = 7.0755 sec |||  255/10350
NatomsRetained = 1615   ||  NMapping = 6/50  ||  time = 7.0858 sec |||  256/10350
NatomsRetained = 1615   ||  NMapping = 7/50  ||  time = 7.0439 sec |||  257/10350
NatomsRetained = 1615   ||  NMapping = 8/50  ||  time = 7.2610 sec |||  258/10350
NatomsRetained = 1615   ||  NMapping = 9/50  ||  time = 6.9830 sec |||  259/10350
NatomsRetained = 1615   ||  NMapping = 10/50  ||  time = 7.0479 sec |||  260/10350
NatomsRetained = 1615   ||  NMapping = 11/50  ||  time = 7.1412 sec |||  261/10350
NatomsRetained = 1615   ||  NMapping = 12/50  ||  time = 6.9600 sec |||  262/10350
NatomsRetained = 1615   ||  NMapping = 13/50  ||  time = 7.0107 sec |||  263/10350
NatomsRetained = 1615   ||  NMapping = 14/50  ||  time = 6.8351 sec |||  264/10350
NatomsRetained = 1615   ||  NMapping = 15/50  ||  time = 6.9800 sec |||  265/10350
NatomsRetained = 1615   ||  NMapping = 16/50  ||  time = 6.8683 sec |||  266/10350
NatomsRetained = 1615   ||  NMapping = 17/50  ||  time = 7.0649 sec |||  267/10350
NatomsRetained = 1615   ||  NMapping = 18/50  ||  time = 7.1489 sec |||  268/10350
NatomsRetained = 1615   ||  NMapping = 19/50  ||  time = 7.1548 sec |||  269/10350
NatomsRetained = 1615   ||  NMapping = 20/50  ||  time = 7.0500 sec |||  270/10350
NatomsRetained = 1615   ||  NMapping = 21/50  ||  time = 7.1322 sec |||  271/10350
NatomsRetained = 1615   ||  NMapping = 22/50  ||  time = 6.9921 sec |||  272/10350
NatomsRetained = 1615   ||  NMapping = 23/50  ||  time = 6.9754 sec |||  273/10350
NatomsRetained = 1615   ||  NMapping = 24/50  ||  time = 6.9268 sec |||  274/10350
NatomsRetained = 1615   ||  NMapping = 25/50  ||  time = 6.9872 sec |||  275/10350
NatomsRetained = 1615   ||  NMapping = 26/50  ||  time = 7.1401 sec |||  276/10350
NatomsRetained = 1615   ||  NMapping = 27/50  ||  time = 7.1260 sec |||  277/10350
NatomsRetained = 1615   ||  NMapping = 28/50  ||  time = 6.9027 sec |||  278/10350
NatomsRetained = 1615   ||  NMapping = 29/50  ||  time = 6.9475 sec |||  279/10350
NatomsRetained = 1615   ||  NMapping = 30/50  ||  time = 7.1675 sec |||  280/10350
NatomsRetained = 1615   ||  NMapping = 31/50  ||  time = 6.8393 sec |||  281/10350
NatomsRetained = 1615   ||  NMapping = 32/50  ||  time = 7.0434 sec |||  282/10350
NatomsRetained = 1615   ||  NMapping = 33/50  ||  time = 6.9776 sec |||  283/10350
NatomsRetained = 1615   ||  NMapping = 34/50  ||  time = 6.9501 sec |||  284/10350
NatomsRetained = 1615   ||  NMapping = 35/50  ||  time = 6.9919 sec |||  285/10350
NatomsRetained = 1615   ||  NMapping = 36/50  ||  time = 7.0270 sec |||  286/10350
NatomsRetained = 1615   ||  NMapping = 37/50  ||  time = 6.9493 sec |||  287/10350
NatomsRetained = 1615   ||  NMapping = 38/50  ||  time = 6.8466 sec |||  288/10350
NatomsRetained = 1615   ||  NMapping = 39/50  ||  time = 7.0460 sec |||  289/10350
NatomsRetained = 1615   ||  NMapping = 40/50  ||  time = 6.8981 sec |||  290/10350
NatomsRetained = 1615   ||  NMapping = 41/50  ||  time = 7.0649 sec |||  291/10350
NatomsRetained = 1615   ||  NMapping = 42/50  ||  time = 7.1690 sec |||  292/10350
NatomsRetained = 1615   ||  NMapping = 43/50  ||  time = 6.8744 sec |||  293/10350
NatomsRetained = 1615   ||  NMapping = 44/50  ||  time = 7.0334 sec |||  294/10350
